GameID,VisitorName,HomeName,VisitorWinPercent,HomeWinPercent,Outcome,Away Team Score,Home Team Score,Point Differential,Period,Home Shooting PCT,Home 3PTRs PCT,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Secs,Seconds Elapsed,Play
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,0,0,1,,,,,2391,9,"TURNOVER  by RAKES,BAILEY"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,0,0,1,,,,,2390,10,"STEAL  by ASHBY,KENDRICK"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,2,2,1,,,1.0,,2375,25,"GOOD LAYUP by DARST,DANIEL(in the paint)"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,2,2,1,,,1.0,,2364,36,"TURNOVER  by RAKES,BAILEY"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,2,2,1,,,1.0,,2362,38,"STEAL  by NESTLEHUTT,JAKE"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,2,2,1,,,0.5,0.0,2359,41,"MISS 3PTR by NESTLEHUTT,JAKE"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,2,2,1,,,0.5,0.0,2359,41,"REBOUND OFF by ASHBY,KENDRICK"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,2,2,1,,,0.333,0.0,2355,45,"MISS JUMPER by ASHBY,KENDRICK"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,2,2,1,,,0.333,0.0,2355,45,"REBOUND DEF by SPITZER,JAKOB"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,2,2,1,0.0,,0.25,0.0,2345,55,"MISS LAYUP by WALKER,ART"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,0,2,2,1,0.0,,0.25,0.0,2345,55,"REBOUND OFF by WALKER,ART"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.4,0.5,2342,58,"GOOD 3PTR by SINE,TUCKER"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.4,0.5,2342,58,"ASSIST  by WALKER,ART"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2326,74,"MISS 3PTR by BERRY,BRYCE"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2326,74,"REBOUND DEF by WALKER,ART"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB IN by SAMSON,VAUGHN"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB IN by DALTON,PRICE"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB IN by GIROUX,PRESTON"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB IN by WEATHERFORD,MITCH"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB IN by EVANS,ANDREW"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB OUT by BERRY,BRYCE"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB OUT by DARST,DANIEL"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB OUT by NESTLEHUTT,JAKE"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB OUT by ASHBY,KENDRICK"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,3,2,-1,1,0.5,1.0,0.333,0.333,2318,82,"SUB OUT by LOVE,KERRY"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,2,-3,1,0.667,1.0,0.429,0.333,2311,89,"GOOD LAYUP by SPITZER,JAKOB(fastbreak)(in the paint)"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,2,-3,1,0.667,1.0,0.429,0.333,2311,89,"ASSIST  by RAKES,BAILEY"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,2,-3,1,0.667,1.0,0.375,0.25,2292,108,"MISS 3PTR by SAMSON,VAUGHN"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,2,-3,1,0.667,1.0,0.375,0.25,2292,108,"REBOUND OFF by SAMSON,VAUGHN"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,4,-1,1,0.667,1.0,0.444,0.25,2289,111,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,4,-1,1,0.667,1.0,0.444,0.25,2276,124,"TURNOVER  by WALKER,ART"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2273,127,"GOOD 3PTR by DALTON,PRICE"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2273,127,"ASSIST  by EVANS,ANDREW"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2254,146,"FOUL  by WEATHERFORD,MITCH"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2254,146,"SUB IN by GRIFFIN,JAROD"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2254,146,"SUB IN by BATES,JACOB"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2254,146,"SUB IN by CRUMP,DAWSON"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2254,146,"SUB OUT by RAKES,BAILEY"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2254,146,"SUB OUT by SINE,TUCKER"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2254,146,"SUB OUT by SPITZER,JAKOB"
18_01_21_6_18,Centre,Rhodes,0.562,0.529,Lose,5,7,2,1,0.667,1.0,0.5,0.4,2254,146,"SUB IN by MCINTYRE,WILLIAM"
