GameID,VisitorName,HomeName,VisitorWinPercent,HomeWinPercent,Outcome,Away Team Score,Home Team Score,Point Differential,Period,Home Shooting PCT,Home 3PTRs PCT,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Secs,Seconds Elapsed,Play
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2370,30,"MISS 3PTR by MOORE,MYLES"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2370,30,"REBOUND DEF by GIROUX,PRESTON"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2355,45,"MISS 3PTR by DARST,DANIEL"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,0,0,0,1,0.0,0.0,0.0,0.0,2355,45,"REBOUND DEF by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2348,52,"GOOD 3PTR by JOHNSON,CORY(fastbreak)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2348,52,"ASSIST  by MOORE,MYLES"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2327,73,"TURNOVER  by GALVIN,OWEN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2317,83,"TURNOVER  by HIRSH,ELIJAH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2317,83,"STEAL  by WEATHERFORD,MITCH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.25,0.333,2301,99,"MISS JUMPER by BERRY,BRYCE"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.25,0.333,2301,99,"REBOUND DEF by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,0,-5,1,0.667,0.5,0.4,0.333,2286,114,"GOOD LAYUP by HAYNES,CALEB(in the paint)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,0,-5,1,0.667,0.5,0.4,0.333,2286,114,"ASSIST  by HIRSH,ELIJAH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,0,-5,1,0.667,0.5,0.333,0.333,2263,137,"MISS JUMPER by GIROUX,PRESTON"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,0,-5,1,0.667,0.5,0.333,0.333,2263,137,"REBOUND DEF by HIRSH,ELIJAH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,0,-5,1,0.5,0.333,0.286,0.25,2248,152,"MISS 3PTR by JOHNSON,CORY"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,0,-5,1,0.5,0.333,0.286,0.25,2248,152,"REBOUND DEF by GALVIN,OWEN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,2,-3,1,0.5,0.333,0.375,0.25,2237,163,"GOOD JUMPER by WEATHERFORD,MITCH(fastbreak)(in the paint)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,2,-3,1,0.5,0.333,0.375,0.25,2237,163,"FOUL  by MOORE,MYLES"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,2,-3,1,0.5,0.333,0.375,0.25,2237,163,"SUB OUT by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,2,-3,1,0.5,0.333,0.375,0.25,2237,163,"SUB IN by ATKINSON,QUINN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.5,0.333,0.444,0.25,2237,163,"GOOD FT by WEATHERFORD,MITCH(fastbreak)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.5,0.333,0.444,0.25,2214,186,"FOUL  by WEATHERFORD,MITCH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2214,186,"MISS FT by ATKINSON,QUINN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2214,186,REBOUND DEADB by TEAM
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,6,3,-3,1,0.5,0.333,0.455,0.25,2214,186,"GOOD FT by ATKINSON,QUINN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,6,5,-1,1,0.5,0.333,0.5,0.25,2197,203,"GOOD JUMPER by WEATHERFORD,MITCH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,6,5,-1,1,0.5,0.333,0.5,0.25,2174,226,"TURNOVER  by MOORE,MYLES"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,6,5,-1,1,0.5,0.333,0.462,0.25,2146,254,"MISS JUMPER by BERRY,BRYCE"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,6,5,-1,1,0.5,0.333,0.462,0.25,2146,254,"REBOUND DEF by CLARK,ETHAN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,6,5,-1,1,0.429,0.333,0.429,0.25,2130,270,"MISS JUMPER by ATKINSON,QUINN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,6,5,-1,1,0.429,0.333,0.429,0.25,2130,270,"REBOUND OFF by HIRSH,ELIJAH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,6,5,-1,1,0.429,0.333,0.429,0.25,2120,280,"FOUL  by GIROUX,PRESTON"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,6,5,-1,1,0.429,0.333,0.429,0.25,2120,280,TIMEOUT  by TEAM
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,7,5,-2,1,0.5,0.333,0.467,0.25,2120,280,"GOOD FT by ATKINSON,QUINN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,5,-3,1,0.556,0.333,0.5,0.25,2120,280,"GOOD FT by ATKINSON,QUINN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,5,-3,1,0.556,0.333,0.5,0.25,2117,283,"SUB OUT by CLARK,ETHAN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,5,-3,1,0.556,0.333,0.5,0.25,2117,283,"SUB IN by HASLAM,ETHAN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.556,0.333,0.529,0.25,2100,300,"GOOD JUMPER by DARST,DANIEL(in the paint)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.5,0.333,0.5,0.25,2086,314,"MISS LAYUP by ATKINSON,QUINN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.5,0.333,0.5,0.25,2086,314,"REBOUND DEF by GIROUX,PRESTON"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.5,0.333,0.5,0.25,2077,323,"FOUL  by HASLAM,ETHAN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.5,0.333,0.474,0.25,2077,323,"MISS FT by BERRY,BRYCE(fastbreak)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.5,0.333,0.474,0.25,2077,323,REBOUND DEADB by TEAM
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.5,0.333,0.474,0.25,2077,323,"SUB OUT by HIRSH,ELIJAH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.5,0.333,0.474,0.25,2077,323,"SUB IN by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.5,0.333,0.474,0.25,2077,323,"SUB OUT by ATKINSON,QUINN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,7,-1,1,0.5,0.333,0.474,0.25,2077,323,"SUB IN by DYER,JACOB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,8,0,1,0.5,0.333,0.5,0.25,2077,323,"GOOD FT by BERRY,BRYCE(fastbreak)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,8,0,1,0.5,0.333,0.5,0.25,2077,323,"SUB OUT by BERRY,BRYCE"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,8,8,0,1,0.5,0.333,0.5,0.25,2077,323,"SUB IN by NESTLEHUTT,JAKE"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,10,8,-2,1,0.545,0.333,0.524,0.25,2068,332,"GOOD JUMPER by JOHNSON,CORY(in the paint)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,10,8,-2,1,0.545,0.333,0.5,0.2,2056,344,"MISS 3PTR by GALVIN,OWEN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,10,8,-2,1,0.545,0.333,0.5,0.2,2056,344,"REBOUND DEF by MOORE,MYLES"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,8,-5,1,0.583,0.5,0.522,0.333,2034,366,"GOOD 3PTR by MOORE,MYLES"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,8,-5,1,0.583,0.5,0.522,0.333,2034,366,"ASSIST  by JOHNSON,CORY"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.583,0.5,0.542,0.333,2005,395,"GOOD JUMPER by WEATHERFORD,MITCH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.538,0.5,0.52,0.333,1991,409,"MISS JUMPER by HASLAM,ETHAN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.538,0.5,0.52,0.333,1991,409,"REBOUND OFF by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.5,0.333,1987,413,"MISS LAYUP by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.5,0.333,1987,413,"REBOUND DEF by GALVIN,OWEN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1969,431,"MISS JUMPER by GIROUX,PRESTON"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1969,431,"REBOUND DEF by HASLAM,ETHAN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1960,440,"SUB OUT by GIROUX,PRESTON"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1960,440,"SUB IN by GUEST,TYLER"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1960,440,"SUB OUT by DARST,DANIEL"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1960,440,"SUB IN by MCNAMARA,BRENDEN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1960,440,"SUB OUT by MOORE,MYLES"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1960,440,"SUB IN by WEHUNT,DAWSON"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1960,440,"SUB OUT by JOHNSON,CORY"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.5,0.5,0.481,0.333,1960,440,"SUB IN by SOMMERVILLE,MARK"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.467,0.4,0.464,0.286,1944,456,"MISS 3PTR by WEHUNT,DAWSON"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.467,0.4,0.464,0.286,1944,456,"REBOUND DEF by GALVIN,OWEN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.467,0.4,0.448,0.286,1914,486,"MISS LAYUP by GUEST,TYLER"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.467,0.4,0.448,0.286,1914,486,"REBOUND DEF by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.438,0.4,0.433,0.286,1887,513,"MISS JUMPER by SOMMERVILLE,MARK"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,10,-3,1,0.438,0.4,0.433,0.286,1887,513,"REBOUND DEF by MCNAMARA,BRENDEN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,12,-1,1,0.438,0.4,0.452,0.286,1876,524,"GOOD JUMPER by GUEST,TYLER(in the paint)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,12,-1,1,0.438,0.4,0.452,0.286,1876,524,"ASSIST  by NESTLEHUTT,JAKE"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,12,-1,1,0.438,0.4,0.452,0.286,1860,540,"TURNOVER  by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,12,-1,1,0.438,0.4,0.452,0.286,1860,540,"STEAL  by MCNAMARA,BRENDEN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,12,-1,1,0.438,0.4,0.438,0.25,1853,547,"MISS 3PTR by NESTLEHUTT,JAKE"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,12,-1,1,0.438,0.4,0.438,0.25,1853,547,"REBOUND DEF by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,12,-1,1,0.412,0.4,0.424,0.25,1833,567,"MISS JUMPER by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,13,12,-1,1,0.412,0.4,0.424,0.25,1833,567,"REBOUND OFF by HAYNES,CALEB"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,15,12,-3,1,0.444,0.4,0.441,0.25,1829,571,"GOOD JUMPER by HAYNES,CALEB(in the paint)"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,15,12,-3,1,0.444,0.4,0.441,0.25,1827,573,"FOUL  by GUEST,TYLER"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,15,12,-3,1,0.444,0.4,0.441,0.25,1827,573,TIMEOUT  by TEAM
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,15,12,-3,1,0.444,0.4,0.441,0.25,1827,573,"SUB OUT by GUEST,TYLER"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,15,12,-3,1,0.444,0.4,0.441,0.25,1827,573,"SUB IN by SHEN,KEVIN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,15,12,-3,1,0.444,0.4,0.441,0.25,1827,573,"SUB OUT by WEATHERFORD,MITCH"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,15,12,-3,1,0.444,0.4,0.441,0.25,1827,573,"SUB IN by JAMES,MAC"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,15,12,-3,1,0.444,0.4,0.441,0.25,1827,573,"SUB OUT by GALVIN,OWEN"
19_01_20_6_18,Berry,Rhodes,0.5,0.5,Lose,15,12,-3,1,0.444,0.4,0.441,0.25,1827,573,"SUB IN by DARST,DANIEL"
