GameID,VisitorName,HomeName,VisitorWinPercent,HomeWinPercent,Outcome,Away Team Score,Home Team Score,Point Differential,Period,Home Shooting PCT,Home 3PTRs PCT,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Secs,Seconds Elapsed,Play
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,0,0,0,1,,,,,2380,20,"FOUL  by ANDERSON,LINCOLN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,0,0,0,1,,,,,2380,20,"FOUL  by ANDERSON,LINCOLN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,0,0,0,1,,,,,2380,20,"TURNOVER  by ANDERSON,LINCOLN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,0,0,0,1,,,0.0,0.0,2380,20,"MISS 3PTR by DIXON,TADDEUS"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,0,0,0,1,,,0.0,0.0,2380,20,"REBOUND DEF by CAMERON,JULIAN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,1.0,1.0,0.5,0.5,2380,20,"GOOD 3PTR by CAMERON,JULIAN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,1.0,1.0,0.5,0.5,2372,28,"TURNOVER  by WEATHERFORD,MITCH"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,1.0,1.0,0.5,0.5,2372,28,"STEAL  by MCCRAY,JAMISON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2360,40,"MISS 3PTR by CAMERON,JULIAN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2360,40,"REBOUND DEF by DIXON,TADDEUS"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2349,51,"TURNOVER  by DARST,DANIEL"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2327,73,"TURNOVER  by MCCRAY,JAMISON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.333,0.333,2327,73,"STEAL  by DIXON,TADDEUS"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.25,0.333,2319,81,"MISS JUMPER by GIROUX,PRESTON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.25,0.333,2319,81,"REBOUND OFF by WEATHERFORD,MITCH"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.25,0.333,2319,81,"BLOCK  by MCCRAY,JAMISON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.25,0.333,2303,97,"FOUL  by MCCALLUM,JALEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,0,-3,1,0.5,0.5,0.25,0.333,2303,97,"FOUL  by MCCALLUM,JALEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,1,-2,1,0.5,0.5,0.4,0.333,2303,97,"GOOD FT by GIROUX,PRESTON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,1,-2,1,0.5,0.5,0.333,0.333,2294,106,"MISS FT by GIROUX,PRESTON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,1,-2,1,0.5,0.5,0.333,0.333,2294,106,"REBOUND DEF by ANDERSON,LINCOLN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,1,-2,1,0.333,0.5,0.286,0.333,2271,129,"MISS JUMPER by BISHOP,GARY"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,3,1,-2,1,0.333,0.5,0.286,0.333,2271,129,"REBOUND OFF by MCCALLUM,JALEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,1,-4,1,0.5,0.5,0.375,0.333,2267,133,"GOOD LAYUP by ANDERSON,LINCOLN(in the paint)"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,1,-4,1,0.5,0.5,0.375,0.333,2267,133,"ASSIST  by MCCALLUM,JALEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,1,-4,1,0.5,0.5,0.375,0.333,2258,142,"TURNOVER  by DARST,DANIEL"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,1,-4,1,0.5,0.5,0.375,0.333,2258,142,"STEAL  by MCCRAY,JAMISON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,1,-4,1,0.5,0.5,0.375,0.333,2252,148,"TURNOVER  by MCCALLUM,JALEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,1,-4,1,0.5,0.5,0.375,0.333,2252,148,"STEAL  by GIROUX,PRESTON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.5,0.5,0.444,0.333,2241,159,"GOOD LAYUP by DIXON,TADDEUS(in the paint)"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.5,0.5,0.444,0.333,2241,159,"ASSIST  by GIROUX,PRESTON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2222,178,"MISS 3PTR by ANDERSON,LINCOLN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2222,178,REBOUND DEADB by TEAM
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"FOUL  by MCCALLUM,JALEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"FOUL  by MCCALLUM,JALEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"TURNOVER  by MCCALLUM,JALEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"SUB IN by YOUNGBLOOD,RONALD"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"SUB IN by WAGNER,STEPHEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"SUB IN by ADEDOYIN,ELIJAH"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"SUB OUT by MCCALLUM,JALEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"SUB OUT by MCCRAY,JAMISON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"SUB OUT by BISHOP,GARY"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"SUB IN by GUEST,TYLER"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2218,182,"SUB OUT by DARST,DANIEL"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2211,189,"TURNOVER  by DIXON,TADDEUS"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2211,189,"STEAL  by WAGNER,STEPHEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2198,202,"TURNOVER  by WAGNER,STEPHEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2189,211,"TURNOVER  by WEATHERFORD,MITCH"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,5,3,-2,1,0.4,0.333,0.4,0.25,2189,211,"STEAL  by WAGNER,STEPHEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.455,0.4,2182,218,"GOOD 3PTR by CAMERON,JULIAN(fastbreak)"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.455,0.4,2182,218,"ASSIST  by WAGNER,STEPHEN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.417,0.4,2168,232,"MISS LAYUP by DIXON,TADDEUS"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.417,0.4,2168,232,"BLOCK  by ANDERSON,LINCOLN"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.417,0.4,2168,232,REBOUND OFF by TEAM
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.417,0.4,2162,238,"SUB IN by DARST,DANIEL"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.417,0.4,2162,238,"SUB IN by LOVE,KERRY"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.417,0.4,2162,238,"SUB OUT by GIROUX,PRESTON"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.417,0.4,2162,238,"SUB OUT by WEATHERFORD,MITCH"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.385,0.4,2157,243,"MISS JUMPER by JAMES,MAC"
18_11_18_6_04,LaGrange,Rhodes,0.5,0.5,Lose,8,3,-5,1,0.5,0.5,0.385,0.4,2157,243,"BLOCK  by ANDERSON,LINCOLN"
