Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:51,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
19:22,"GOOD JUMPER by LIVSEY,GEOFF",2 (+2),,0,,RHODES 2-0 (+2),,"GOOD JUMPER by LIVSEY,GEOFF",1
19:00,,,,,"MISS LAYUP by GEEGAN,MIKE",,,"MISS LAYUP by GEEGAN,MIKE",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
18:40,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
18:25,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1
18:23,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
18:13,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
17:53,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
17:29,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
16:59,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
16:40,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND OFF by COLLINS,LUKE",,,,,,,"REBOUND OFF by COLLINS,LUKE",1
16:32,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",4 (+4),,0,,RHODES 4-0 (+4),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,"ASSIST  by SULLIVAN,BRENNAN",,,,,,,"ASSIST  by SULLIVAN,BRENNAN",1
16:16,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
16:16,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
16:16,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
16:06,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
15:50,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
15:47,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",1
15:45,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
15:45,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
15:45,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
15:37,,4 (+2),,2,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 4-2 (+2),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
15:15,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
15:15,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
15:15,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",1
15:15,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
15:15,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
15:01,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
15:01,,4 (+1),,3,"GOOD FT by WESLEY,TYLER",CENTRE_M 4-3 (+1),,"GOOD FT by WESLEY,TYLER",1
15:01,,4,,4,"GOOD FT by WESLEY,TYLER",CENTRE_M 4-4 (0),,"GOOD FT by WESLEY,TYLER",1
14:47,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
14:42,,,,,"TURNOVER  by GRUBER,SAM",,,"TURNOVER  by GRUBER,SAM",1
14:42,"SUB IN by BLISS,DYLAN",,,,,,,"SUB IN by BLISS,DYLAN",1
14:42,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
14:20,"MISS 3PTR by COLLINS,LUKE",,,,,,,"MISS 3PTR by COLLINS,LUKE",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
13:58,,4,,6 (+2),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 4-6 (-2),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
