Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,BER,Game Score,Team Indicator,Play,Period
19:57,,0,,2 (+2),"GOOD LAYUP by JOHNSON,CORY(fastbreak)(in the paint)",BER 0-2 (-2),,"GOOD LAYUP by JOHNSON,CORY(fastbreak)(in the paint)",1
19:27,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",1
19:17,"GOOD 3PTR by SULLIVAN,BRENNAN",3 (+1),,2,,RHO 3-2 (+1),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by LOWRIE,ANDREW",,,,,,,"ASSIST  by LOWRIE,ANDREW",1
19:09,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
19:09,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
19:09,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
19:09,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
19:09,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
19:09,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
19:09,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
19:09,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
19:09,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
19:09,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
19:09,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
19:03,,,,,"TURNOVER  by JOHNSON,CORY",,,"TURNOVER  by JOHNSON,CORY",1
