Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS JUMPER by MANNING,JOHNATHAN",,,"MISS JUMPER by MANNING,JOHNATHAN",1
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",1
19:34,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
19:19,,0,,2 (+2),"GOOD LAYUP by BLANZ,BUCK(in the paint)",MIL 0-2 (-2),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
--,,,,,"ASSIST  by GARDNER,ROBERT",,,"ASSIST  by GARDNER,ROBERT",1
18:58,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",1
18:58,,,,,"BLOCK  by TURNER,JAMES",,,"BLOCK  by TURNER,JAMES",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
18:53,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
18:53,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
18:53,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
18:53,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
18:53,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
18:53,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
18:53,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
18:53,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
18:53,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
18:53,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
18:53,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
