Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:47,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2 (+2),,0,,CEN 2-0 (-2),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
19:29,,2,,3 (+1),"GOOD 3PTR by LOWRIE,ANDREW",RHO 2-3 (+1),,"GOOD 3PTR by LOWRIE,ANDREW",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
19:04,"GOOD LAYUP by AYERS,PERRY(in the paint)",4 (+1),,3,,CEN 4-3 (-1),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
18:48,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
18:38,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
18:38,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
18:20,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
18:19,"STEAL  by SPITZER,JAKOB",,,,,,,"STEAL  by SPITZER,JAKOB",1
18:14,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
18:14,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:14,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
18:14,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
18:14,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
18:14,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
18:14,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
18:14,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
18:14,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
18:14,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
18:14,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
18:14,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
18:14,"GOOD FT by SPITZER,JAKOB",5 (+2),,3,,CEN 5-3 (-2),,"GOOD FT by SPITZER,JAKOB",1
18:14,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
18:14,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
18:05,,,,,"MISS JUMPER by DARST,DANIEL",,,"MISS JUMPER by DARST,DANIEL",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
17:56,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",1
17:48,"GOOD JUMPER by SINE,TUCKER",7 (+4),,3,,CEN 7-3 (-4),,"GOOD JUMPER by SINE,TUCKER",1
17:41,,7 (+2),,5,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHO 7-5 (-2),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
17:27,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",9 (+4),,5,,CEN 9-5 (-4),,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
17:10,,9 (+2),,7,"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 9-7 (-2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
16:55,"GOOD LAYUP by BATES,JACOB(in the paint)",11 (+4),,7,,CEN 11-7 (-4),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
16:45,,,,,"MISS LAYUP by NYAWATA,ANESU",,,"MISS LAYUP by NYAWATA,ANESU",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
16:35,"GOOD JUMPER by SINE,TUCKER(in the paint)",13 (+6),,7,,CEN 13-7 (-6),,"GOOD JUMPER by SINE,TUCKER(in the paint)",1
16:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:23,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
16:23,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
16:23,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
16:23,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
16:23,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
16:23,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
16:23,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
16:23,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
16:23,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
16:23,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
16:23,"SUB OUT by CAVANAUGH,CHASE",,,,,,,"SUB OUT by CAVANAUGH,CHASE",1
16:23,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
16:23,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
16:23,"SUB OUT by MORETTE,MATT",,,,,,,"SUB OUT by MORETTE,MATT",1
16:23,"SUB OUT by DUNAWAY,MICHAEL",,,,,,,"SUB OUT by DUNAWAY,MICHAEL",1
16:23,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
16:23,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
16:23,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
16:23,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
16:23,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
16:05,,13 (+4),,9,"GOOD LAYUP by GALVIN,OWEN(in the paint)",RHO 13-9 (-4),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
--,,,,,"ASSIST  by ASHBY,KENDRICK",,,"ASSIST  by ASHBY,KENDRICK",1
15:46,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
15:36,,13 (+2),,11,"GOOD JUMPER by NESTLEHUTT,JAKE(in the paint)",RHO 13-11 (-2),,"GOOD JUMPER by NESTLEHUTT,JAKE(in the paint)",1
15:21,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
15:20,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
15:20,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
15:20,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
15:20,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
15:20,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
15:20,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
15:20,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
15:20,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
15:20,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
15:20,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
15:20,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
15:20,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
15:04,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
15:03,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
15:01,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
15:01,,13 (+1),,12,"GOOD FT by DARST,DANIEL",RHO 13-12 (-1),,"GOOD FT by DARST,DANIEL",1
15:01,,13,,13,"GOOD FT by DARST,DANIEL",RHO 13-13 (0),,"GOOD FT by DARST,DANIEL",1
14:54,"GOOD LAYUP by GRUBER,SAM(in the paint)",15 (+2),,13,,CEN 15-13 (-2),,"GOOD LAYUP by GRUBER,SAM(in the paint)",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
14:37,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
14:37,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
14:37,,,,,"SUB OUT by GALVIN,DANNY",,,"SUB OUT by GALVIN,DANNY",1
14:37,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
14:37,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
14:37,,,,,"SUB OUT by HOELLWARTH,TYLER",,,"SUB OUT by HOELLWARTH,TYLER",1
14:37,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
14:37,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
14:37,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
14:37,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
14:37,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
14:37,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
14:37,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
14:29,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
14:29,"GOOD FT by WALKER,ART",16 (+3),,13,,CEN 16-13 (-3),,"GOOD FT by WALKER,ART",1
14:29,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
14:29,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:29,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",1
--,,,,,"REBOUND DEF by ASHBY,KENDRICK",,,"REBOUND DEF by ASHBY,KENDRICK",1
14:23,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
14:23,,16 (+2),,14,"GOOD FT by WEATHERFORD,MITCH",RHO 16-14 (-2),,"GOOD FT by WEATHERFORD,MITCH",1
14:23,"SUB OUT by CAVANAUGH,CHASE",,,,,,,"SUB OUT by CAVANAUGH,CHASE",1
14:23,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
14:23,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
14:23,"SUB OUT by MORETTE,MATT",,,,,,,"SUB OUT by MORETTE,MATT",1
14:23,"SUB OUT by DUNAWAY,MICHAEL",,,,,,,"SUB OUT by DUNAWAY,MICHAEL",1
14:23,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
14:23,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
14:23,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
14:23,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
14:23,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
14:23,,16 (+1),,15,"GOOD FT by WEATHERFORD,MITCH",RHO 16-15 (-1),,"GOOD FT by WEATHERFORD,MITCH",1
14:10,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
