Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,UTT,Game Score,Team Indicator,Play,Period
19:50,"MISS JUMPER by MCINTYRE,WILLIAM",,,,,,,"MISS JUMPER by MCINTYRE,WILLIAM",1
--,,,,,"REBOUND DEF by HADDEN,SKYLER",,,"REBOUND DEF by HADDEN,SKYLER",1
19:36,,0,,3 (+3),"GOOD 3PTR by FRANK,CAMERON",UTT 0-3 (-3),,"GOOD 3PTR by FRANK,CAMERON",1
--,,,,,"ASSIST  by TATUM,JOSH",,,"ASSIST  by TATUM,JOSH",1
19:15,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",2,,3 (+1),,RHODES 2-3 (-1),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1
--,"ASSIST  by MCINTYRE,WILLIAM",,,,,,,"ASSIST  by MCINTYRE,WILLIAM",1
19:05,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
18:57,,,,,"TURNOVER  by TATUM,JOSH",,,"TURNOVER  by TATUM,JOSH",1
18:55,"STEAL  by WEATHERFORD,MITCH",,,,,,,"STEAL  by WEATHERFORD,MITCH",1
18:50,"GOOD LAYUP by GIROUX,PRESTON(fastbreak)(in the paint)",4 (+1),,3,,RHODES 4-3 (+1),,"GOOD LAYUP by GIROUX,PRESTON(fastbreak)(in the paint)",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
18:38,,,,,"MISS 3PTR by TATUM,JOSH",,,"MISS 3PTR by TATUM,JOSH",1
--,,,,,"REBOUND OFF by ANTHONY,MELVIN",,,"REBOUND OFF by ANTHONY,MELVIN",1
18:32,,4,,5 (+1),"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",UTT 4-5 (-1),,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",1
--,,,,,"ASSIST  by ANTHONY,MELVIN",,,"ASSIST  by ANTHONY,MELVIN",1
18:19,"MISS JUMPER by WEATHERFORD,MITCH",,,,,,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by OBUKWELU,EMEKA",,,"REBOUND DEF by OBUKWELU,EMEKA",1
18:14,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
18:14,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
18:14,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
18:14,"SUB IN by ROTEMAN,EVAN",,,,,,,"SUB IN by ROTEMAN,EVAN",1
18:14,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
18:14,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
18:14,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
18:14,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
18:14,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
18:14,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
18:10,,,,,"MISS 3PTR by TATUM,JOSH",,,"MISS 3PTR by TATUM,JOSH",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
18:00,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by HADDEN,SKYLER",,,"REBOUND DEF by HADDEN,SKYLER",1
17:39,,,,,"TURNOVER  by OBUKWELU,EMEKA",,,"TURNOVER  by OBUKWELU,EMEKA",1
17:37,"STEAL  by GALVIN,OWEN",,,,,,,"STEAL  by GALVIN,OWEN",1
17:32,"GOOD DUNK by BERRY,BRYCE(fastbreak)(in the paint)",6 (+1),,5,,RHODES 6-5 (+1),,"GOOD DUNK by BERRY,BRYCE(fastbreak)(in the paint)",1
--,"ASSIST  by LOVE,KERRY",,,,,,,"ASSIST  by LOVE,KERRY",1
17:15,,,,,"TURNOVER  by FRANK,CAMERON",,,"TURNOVER  by FRANK,CAMERON",1
17:13,"STEAL  by LOVE,KERRY",,,,,,,"STEAL  by LOVE,KERRY",1
17:12,"GOOD LAYUP by ROTEMAN,EVAN(fastbreak)(in the paint)",8 (+3),,5,,RHODES 8-5 (+3),,"GOOD LAYUP by ROTEMAN,EVAN(fastbreak)(in the paint)",1
--,"ASSIST  by LOVE,KERRY",,,,,,,"ASSIST  by LOVE,KERRY",1
17:06,,,,,"TURNOVER  by HADDEN,SKYLER",,,"TURNOVER  by HADDEN,SKYLER",1
17:06,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
