Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:55,"GOOD JUMPER by ESSICK,JALEN(in the paint)",2 (+2),,0,,Rhodes 2-0 (+2),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
19:36,,2,,2,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",Centre 2-2 (0),,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
19:14,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
18:45,,2,,4 (+2),"GOOD JUMPER by CRUMP,DAWSON(in the paint)",Centre 2-4 (-2),,"GOOD JUMPER by CRUMP,DAWSON(in the paint)",1
18:34,"MISS LAYUP by SHEN,KEVIN(in the paint)",,,,,,,"MISS LAYUP by SHEN,KEVIN(in the paint)",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
18:20,,2,,6 (+4),"GOOD LAYUP by CRUMP,DAWSON(in the paint)",Centre 2-6 (-4),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
18:06,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
17:48,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
17:15,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",4,,6 (+2),,Rhodes 4-6 (-2),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,"ASSIST  by ESSICK,JALEN",,,,,,,"ASSIST  by ESSICK,JALEN",1
16:49,,4,,9 (+5),"GOOD 3PTR by SMITH,RJ",Centre 4-9 (-5),,"GOOD 3PTR by SMITH,RJ",1
--,,,,,"ASSIST  by WILLIAMS,JALEN",,,"ASSIST  by WILLIAMS,JALEN",1
16:19,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND DEF by WILLIAMS,JALEN",,,"REBOUND DEF by WILLIAMS,JALEN",1
16:12,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
15:47,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
15:47,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
15:47,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
15:47,"SUB IN by HIESTER,JACKSON",,,,,,,"SUB IN by HIESTER,JACKSON",1
15:47,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",1
15:47,"GOOD FT by SHEN,KEVIN",5,,9 (+4),,Rhodes 5-9 (-4),,"GOOD FT by SHEN,KEVIN",1
15:47,"GOOD FT by SHEN,KEVIN",6,,9 (+3),,Rhodes 6-9 (-3),,"GOOD FT by SHEN,KEVIN",1
15:47,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
15:45,"MISS JUMPER by HIESTER,JACKSON",,,,,,,"MISS JUMPER by HIESTER,JACKSON",1
