,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,19:39,,0,,2 ,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 0-2 (+2),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1,layup,good,rhodes,"galvin,daniel",2,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1179
1,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,19:24,,0,,2 ,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1,foul,,rhodes,"gee,tyler",,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1164
2,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,19:11,"GOOD 3PTR by LAWRENCE,CHRIS",3 ,,2,,OGL 3-2 (-1),,"GOOD 3PTR by LAWRENCE,CHRIS",1,three pointer,good,oglethorpe,"lawrence,chris",3,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1151
3,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,--,"ASSIST  by SMITH,CONNOR",3 ,,2,,,,"ASSIST  by SMITH,CONNOR",1,assist,,oglethorpe,"smith,connor",,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
4,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,18:43,"FOUL  by SMITH,CONNOR",3 ,,2,,,,"FOUL  by SMITH,CONNOR",1,foul,,oglethorpe,"smith,connor",,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1123
5,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,18:41,,3 ,,2,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1,turnover,,rhodes,"gee,tyler",,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1121
6,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,18:40,"STEAL  by WARDLAW,CHASE",3 ,,2,,,,"STEAL  by WARDLAW,CHASE",1,steal,,oglethorpe,,,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1120
7,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,18:38,"TURNOVER  by PERRY,WILL",3 ,,2,,,,"TURNOVER  by PERRY,WILL",1,turnover,,oglethorpe,"perry,will",,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1118
8,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,18:25,,3 ,,2,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1,turnover,,rhodes,"butts,keyshawn",,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1105
9,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,18:24,"STEAL  by WARDLAW,CHASE",3 ,,2,,,,"STEAL  by WARDLAW,CHASE",1,steal,,oglethorpe,,,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1104
10,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,18:19,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",5 ,,2,,OGL 5-2 (-3),,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",1,layup,good,oglethorpe,"perry,will(fastbreak)",2,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1099
11,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,--,"ASSIST  by INUNGU,TOM",5 ,,2,,,,"ASSIST  by INUNGU,TOM",1,assist,,oglethorpe,"inungu,tom",,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
12,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,18:08,,5 ,,4,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",RHO 5-4 (-1),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",1,jumper,good,rhodes,"sullivan,brennan",2,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1088
13,4097,Rhodes,Oglethorpe,1,66-63,"26,37","36,30",8-8,7-9,2-3,2-3,01/22/16,9:40 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,201,False,--,,5 ,,4,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1,assist,,rhodes,"weir,jj",,"['smith,connor', 'lawrence,chris', 'perry,will', 'wardlaw,chase', 'inungu,tom']","['galvin,daniel', 'sullivan,brennan', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
