,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds)
0,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:53,,0,,3 (+3),"GOOD 3PTR by NYAWATA,ANESU",RHO 0-3 (+3),,"GOOD 3PTR by NYAWATA,ANESU",1,three pointer,good,rhodes,"nyawata,anesu",3,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1193
1,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1,assist,,rhodes,"darst,daniel",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",
2,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:46,"GOOD DUNK by CRAWFORD,BLAINE(fastbreak)(in the paint)",2,,3 (+1),,CHI 2-3 (+1),,"GOOD DUNK by CRAWFORD,BLAINE(fastbreak)(in the paint)",1,,,,,,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1186
3,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,--,"ASSIST  by PEREZ,WALLER",,,,,,,"ASSIST  by PEREZ,WALLER",1,assist,,chicago,"perez,waller",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",
4,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:25,,2,,5 (+3),"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",RHO 2-5 (+3),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1,layup,good,rhodes,"ashby,kendrick",2,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1165
5,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1,assist,,rhodes,"darst,daniel",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",
6,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:15,"TURNOVER  by KARRAS,NOAH",,,,,,,"TURNOVER  by KARRAS,NOAH",1,turnover,,chicago,"karras,noah",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1155
7,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:15,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1,steal,,rhodes,,,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1155
8,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:10,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1,turnover,,rhodes,"darst,daniel",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1150
9,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:10,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1,subbing out,,rhodes,"sullivan,brennan",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1150
10,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:10,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1,subbing out,,rhodes,"lowrie,andrew",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1150
11,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:10,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1,subbing out,,rhodes,"weir,jj",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1150
12,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:10,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1,subbing out,,rhodes,"darst,daniel",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1150
13,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,19:10,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1,subbing out,,rhodes,"berry,bryce",,"['crawford,blaine', 'perez,waller', 'howard,tyler', 'barthel,collin', 'karras,noah']","['nyawata,anesu', 'de,nick', 'gee,tyler', 'ashby,kendrick', 'darst,daniel']",1150
