,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,19:47,,0,,2 ,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",M-426 0-2 (-2),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1,layup,good,millsaps,"tullos,zachary",2,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",1187
1,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,--,,0,,2 ,"ASSIST  by SULLIVAN,MICHAEL",,,"ASSIST  by SULLIVAN,MICHAEL",1,assist,,millsaps,"sullivan,michael",,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",
2,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,19:34,"GOOD JUMPER by BERRY,BRYCE(in the paint)",2,,2,,M-573 2-2 (0),,"GOOD JUMPER by BERRY,BRYCE(in the paint)",1,jumper,good,rhodes,"berry,bryce",2,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",1174
3,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,19:18,,2,,2,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1,three pointer,missed,millsaps,"turner,james",,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",1158
4,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,--,"REBOUND DEF by WEATHERFORD,MITCH",2,,2,,,,"REBOUND DEF by WEATHERFORD,MITCH",1,defensive rebound,,rhodes,"weatherford,mitch",,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",
5,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,19:09,"TURNOVER  by WEATHERFORD,MITCH",2,,2,,,,"TURNOVER  by WEATHERFORD,MITCH",1,turnover,,rhodes,"weatherford,mitch",,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",1149
6,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,19:09,,2,,2,"STEAL  by TULLOS,ZACHARY",,,"STEAL  by TULLOS,ZACHARY",1,steal,,millsaps,,,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",1149
7,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,18:58,,2,,5 ,"GOOD 3PTR by COLEMAN,DANIEL",M-426 2-5 (-3),,"GOOD 3PTR by COLEMAN,DANIEL",1,three pointer,good,millsaps,"coleman,daniel",3,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",1138
8,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,--,,2,,5 ,"ASSIST  by MANNING,JOHNATHAN",,,"ASSIST  by MANNING,JOHNATHAN",1,assist,,millsaps,"manning,johnathan",,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",
9,5837,Millsaps,Rhodes,0,92-84,"43,41","42,50",N/A,N/A,N/A,N/A,02/10/19,3:00 PM,N/A,N/A,Lose,2,False,163,False,18:44,"MISS JUMPER by WEATHERFORD,MITCH",2,,5 ,,,,"MISS JUMPER by WEATHERFORD,MITCH",1,jumper,missed,rhodes,"weatherford,mitch",,"['weatherford,mitch', 'berry,bryce', 'darst,daniel', 'giroux,preston', 'james,mac']","['sullivan,michael', 'turner,james', 'tullos,zachary', 'coleman,daniel', 'manning,johnathan']",1124
