,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,19:45,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1,jumper,missed,sewanee,"carter,keshonn",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1185.0,rhodes,1,0,0.0
1,1,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1,defensive rebound,,rhodes,"miller,drew",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,1,0,0.0
2,2,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,19:32,,0.0,,2.0,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 0-2 (+2),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1,layup,good,rhodes,"hoeck,ryan van",2.0,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1172.0,rhodes,1,0,0.0
3,3,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,0.0,,2.0,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1,assist,,rhodes,"livsey,geoff",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,1,0,0.0
4,4,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,19:10,"MISS 3PTR by WILLIAMS,JORDEN",0.0,,2.0,,,,"MISS 3PTR by WILLIAMS,JORDEN",1,three pointer,missed,sewanee,"williams,jorden",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1150.0,rhodes,1,0,0.0
5,5,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,0.0,,2.0,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1,defensive rebound,,rhodes,"collins,luke",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,1,0,0.0
6,6,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,18:47,,0.0,,2.0,"MISS 3PTR by HOECK,RYAN VAN",,,"MISS 3PTR by HOECK,RYAN VAN",1,three pointer,missed,rhodes,"hoeck,ryan van",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1127.0,rhodes,1,0,0.0
7,7,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,"REBOUND DEF by TOME,MATT",0.0,,2.0,,,,"REBOUND DEF by TOME,MATT",1,defensive rebound,,sewanee,"tome,matt",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,1,0,0.0
8,8,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,18:24,"MISS 3PTR by BROWN,SETH",0.0,,2.0,,,,"MISS 3PTR by BROWN,SETH",1,three pointer,missed,sewanee,"brown,seth",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1104.0,sewanee,2,0,0.0
9,9,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,0.0,,2.0,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",1,defensive rebound,,rhodes,"dunavant,johnny",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,sewanee,2,0,0.0
10,10,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,18:12,,0.0,,5.0,"GOOD 3PTR by MILLER,DREW",RHODESMB 0-5 (+5),,"GOOD 3PTR by MILLER,DREW",1,three pointer,good,rhodes,"miller,drew",3.0,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1092.0,rhodes,3,0,0.0
11,11,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,0.0,,5.0,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1,assist,,rhodes,"collins,luke",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,3,0,0.0
12,12,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,17:53,,0.0,,5.0,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1,foul,,rhodes,"livsey,geoff",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1073.0,rhodes,3,0,0.0
13,13,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,17:53,"GOOD FT by WILLIAMS,JORDEN",1.0,,5.0,,SEWANEEM 1-5 (+4),,"GOOD FT by WILLIAMS,JORDEN",1,free throw,good,sewanee,"williams,jorden",1.0,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1073.0,rhodes,3,0,0.0
14,14,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,17:53,"GOOD FT by WILLIAMS,JORDEN",2.0,,5.0,,SEWANEEM 2-5 (+3),,"GOOD FT by WILLIAMS,JORDEN",1,free throw,good,sewanee,"williams,jorden",1.0,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1073.0,rhodes,3,0,0.0
15,15,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,17:35,,2.0,,5.0,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1,turnover,,rhodes,"miller,drew",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1055.0,rhodes,3,0,0.0
16,16,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,17:20,"TURNOVER  by WILLIAMS,JORDEN",2.0,,5.0,,,,"TURNOVER  by WILLIAMS,JORDEN",1,turnover,,sewanee,"williams,jorden",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1040.0,sewanee,4,0,0.0
17,17,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,17:08,,2.0,,7.0,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 2-7 (+5),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1,layup,good,rhodes,"hoeck,ryan van",2.0,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1028.0,rhodes,5,0,0.0
18,18,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,2.0,,7.0,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1,assist,,rhodes,"miller,drew",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,5,0,0.0
19,19,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,16:50,"GOOD JUMPER by CARDWELL,MARCELLUS(in the paint)",4.0,,7.0,,SEWANEEM 4-7 (+3),,"GOOD JUMPER by CARDWELL,MARCELLUS(in the paint)",1,jumper,good,sewanee,"cardwell,marcellus",2.0,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",1010.0,rhodes,5,0,0.0
20,20,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,16:37,,4.0,,7.0,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",1,layup,missed,rhodes,"collins,luke",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",997.0,rhodes,5,0,0.0
21,21,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,16:37,"BLOCK  by CARTER,KESHONN",4.0,,7.0,,,,"BLOCK  by CARTER,KESHONN",1,block,,sewanee,"carter,keshonn",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",997.0,rhodes,5,0,0.0
22,22,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,4.0,,7.0,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,rhodes,,,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,5,0,0.0
23,23,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,16:25,,4.0,,9.0,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 4-9 (+5),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1,layup,good,rhodes,"hoeck,ryan van",2.0,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",985.0,rhodes,5,0,0.0
24,24,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,4.0,,9.0,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1,assist,,rhodes,"miller,drew",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,5,0,0.0
25,25,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,16:22,TIMEOUT 30SEC by TEAM,4.0,,9.0,,,,TIMEOUT 30SEC by TEAM,1,timeout,,sewanee,,,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",982.0,rhodes,5,0,0.0
26,26,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,15:57,"MISS 3PTR by WILLIAMS,JORDEN",4.0,,9.0,,,,"MISS 3PTR by WILLIAMS,JORDEN",1,three pointer,missed,sewanee,"williams,jorden",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",957.0,rhodes,5,0,0.0
27,27,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,"REBOUND OFF by CARTER,KESHONN",4.0,,9.0,,,,"REBOUND OFF by CARTER,KESHONN",1,offensive rebound,,sewanee,"carter,keshonn",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,5,0,0.0
28,28,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,15:52,,4.0,,9.0,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1,foul,,rhodes,"hoeck,ryan van",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",952.0,rhodes,5,0,0.0
29,29,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,15:52,"MISS JUMPER by CARTER,KESHONN",4.0,,9.0,,,,"MISS JUMPER by CARTER,KESHONN",1,jumper,missed,sewanee,"carter,keshonn",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",952.0,rhodes,5,0,0.0
30,30,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,4.0,,9.0,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1,defensive rebound,,rhodes,"livsey,geoff",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,5,0,0.0
31,31,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,15:37,,4.0,,9.0,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",1,jumper,missed,rhodes,"hoeck,ryan van",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",937.0,rhodes,5,0,0.0
32,32,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,--,,4.0,,9.0,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1,offensive rebound,,rhodes,"hoeck,ryan van",,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",,rhodes,5,0,0.0
33,33,2891,Rhodes,SEWANEE,0,64-78,"40,38","26,38",15-11; 7-7 SAA,13-13; 6-8 SAA,,,02/28/14,3:00 PM,,"Danville, KY",Win,2,False,138,False,15:34,,4.0,,11.0,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODESMB 4-11 (+7),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1,layup,good,rhodes,"hoeck,ryan van",2.0,"['williams,jorden', 'cardwell,marcellus', 'tome,matt', 'carter,keshonn', 'brown,seth']","['van,ryan', 'miller,drew', 'collins,luke', 'livsey,geoff', 'dunavant,johnny']",934.0,rhodes,5,0,0.0
