,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,19:30,,,,,"MISS LAYUP by GIROUX,PRESTON",,,"MISS LAYUP by GIROUX,PRESTON",1,layup,missed,rhodes,"giroux,preston",,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",1170.0,sewanee,1,0,0.0
1,1,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1,defensive rebound,,sewanee,"lee,matt",,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",,sewanee,1,0,0.0
2,2,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,19:08,"MISS LAYUP by LEE,MATT",,,,,,,"MISS LAYUP by LEE,MATT",1,layup,missed,sewanee,"lee,matt",,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",1148.0,sewanee,1,0,0.0
3,3,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1,defensive rebound,,rhodes,"darst,daniel",,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",,sewanee,1,0,0.0
4,4,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,19:03,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1,turnover,,rhodes,"darst,daniel",,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",1143.0,rhodes,2,0,0.0
5,5,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,18:59,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1,turnover,,sewanee,"caldwell,cam",,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",1139.0,sewanee,3,0,0.0
6,6,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,18:59,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1,steal,,rhodes,,,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",1139.0,sewanee,3,0,0.0
7,7,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,18:48,,0.0,,2.0,"GOOD JUMPER by BERRY,BRYCE(in the paint)",M-573 0-2 (+2),,"GOOD JUMPER by BERRY,BRYCE(in the paint)",1,jumper,good,rhodes,"berry,bryce",2.0,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",1128.0,rhodes,4,0,0.0
8,8,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,18:29,"TURNOVER  by CALDWELL,CAM",0.0,,2.0,,,,"TURNOVER  by CALDWELL,CAM",1,turnover,,sewanee,"caldwell,cam",,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",1109.0,rhodes,4,0,0.0
9,9,5835,Rhodes,Sewanee,0,61-59,"27,29,3","28,28,5",,,,,02/03/19,3:00 PM,,,Lose,3,True,88,False,18:09,,0.0,,4.0,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",M-573 0-4 (+4),,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",1,jumper,good,rhodes,"weatherford,mitch",2.0,"['smith,luke', 'caldwell,cam', 'lee,matt', 'warlick,jordan', 'buescher,hunter']","['darst,daniel', 'giroux,preston', 'weatherford,mitch', 'berry,bryce', 'james,mac']",1089.0,rhodes,4,0,0.0
