,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,19:43,"GOOD LAYUP by GRYGO,ERIC(in the paint)",2,,0,,BenU 2-0 (-2),,"GOOD LAYUP by GRYGO,ERIC(in the paint)",1,layup,good,benedictine (il),"grygo,eric",2.0,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",1183.0,benedictine (il),1,0,0.0
1,1,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,--,"ASSIST  by BOGUS,KENNY",2,,0,,,,"ASSIST  by BOGUS,KENNY",1,assist,,benedictine (il),"bogus,kenny",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",,benedictine (il),1,0,0.0
2,2,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,19:22,,2,,0,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1,turnover,,rhodes,"weatherford,mitch",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",1162.0,benedictine (il),1,0,0.0
3,3,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,19:22,"STEAL  by BOATRIGHT,MIKE",2,,0,,,,"STEAL  by BOATRIGHT,MIKE",1,steal,,benedictine (il),,,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",1162.0,benedictine (il),1,0,0.0
4,4,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,19:14,"MISS 3PTR by KOSICH,NICK",2,,0,,,,"MISS 3PTR by KOSICH,NICK",1,three pointer,missed,benedictine (il),"kosich,nick",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",1154.0,benedictine (il),1,0,0.0
5,5,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,--,,2,,0,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1,defensive rebound,,rhodes,"giroux,preston",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",,benedictine (il),1,0,0.0
6,6,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,19:04,,2,,0,"MISS LAYUP by GIROUX,PRESTON(in the paint)",,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",1,layup,missed,rhodes,"giroux,preston",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",1144.0,rhodes,2,0,0.0
7,7,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,19:04,"BLOCK  by GRYGO,ERIC",2,,0,,,,"BLOCK  by GRYGO,ERIC",1,block,,benedictine (il),"grygo,eric",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",1144.0,rhodes,2,0,0.0
8,8,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,--,"REBOUND DEF by GRAEBNER,KYLE",2,,0,,,,"REBOUND DEF by GRAEBNER,KYLE",1,defensive rebound,,benedictine (il),"graebner,kyle",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",,rhodes,2,0,0.0
9,9,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,18:57,"FOUL  by BOATRIGHT,MIKE",2,,0,,,,"FOUL  by BOATRIGHT,MIKE",1,foul,,benedictine (il),"boatright,mike",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",1137.0,benedictine (il),3,0,0.0
10,10,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,18:44,,2,,0,"MISS LAYUP by GIROUX,PRESTON(in the paint)",,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",1,layup,missed,rhodes,"giroux,preston",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",1124.0,rhodes,4,0,0.0
11,11,6284,Rhodes,Benedictine (IL),0,80-58,"30,28","35,45",2-3,3-1,0-0,0-0,11/17/19,4:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,101,False,--,"REBOUND DEF by KOSICH,NICK",2,,0,,,,"REBOUND DEF by KOSICH,NICK",1,defensive rebound,,benedictine (il),"kosich,nick",,"['grygo,eric', 'bogus,kenny', 'boatright,mike', 'kosich,nick', 'graebner,kyle']","['wiley,koki', 'giroux,preston', 'james,mac', 'galvin,owen', 'weatherford,mitch']",,rhodes,4,0,0.0
