game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,19:34,,0,0,"MISS LAYUP by BROWN,TYLER",0,1,,,0,0,,,layup,miss,1,0,0.0,,39,2374
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,19:34,,0,0,"REBOUND OFF by BROWN,TYLER",0,1,,,0,0,,,,,1,0,0.0,,39,2374
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,19:30,,0,2,"GOOD LAYUP by BROWN,TYLER(in the paint)",2,1,,,0,0,,,layup,good,2,0,0.5,,39,2370
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,19:17,"MISS JUMPER by WILT,JONATHAN",0,2,,2,1,jumper,miss,1,0,0.0,,,,2,0,0.5,,39,2357
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,19:17,"REBOUND OFF by ALLAN,CLARKE",0,2,,2,1,,,1,0,0.0,,,,2,0,0.5,,39,2357
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,19:13,"MISS JUMPER by ALLAN,CLARKE",0,2,,2,1,jumper,miss,2,0,0.0,,,,2,0,0.5,,39,2353
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,19:13,,0,2,"REBOUND DEF by NELSON,ANVIL",2,1,,,2,0,0.0,,,,2,0,0.5,,39,2353
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,19:01,,0,2,"MISS LAYUP by BROWN,TYLER",2,1,,,2,0,0.0,,layup,miss,3,0,0.333,,39,2341
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,19:01,"REBOUND DEF by ALLAN,CLARKE",0,2,,2,1,,,2,0,0.0,,,,3,0,0.333,,39,2341
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,18:44,"GOOD LAYUP by WILT,JONATHAN(in the paint)",2,2,,0,1,layup,good,3,0,0.333,,,,3,0,0.333,,38,2324
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,18:28,,2,2,"MISS 3PTR by AFFRONTI,LEWIS",0,1,,,3,0,0.333,,3ptr,miss,4,1,0.25,0.0,38,2308
13,TUM,Tigers,58-40,58,40,7-7 (4-2),5-8 (1-5),01/14/11,Lose,211,No Location Recorded,8:00 PM,18:28,REBOUND DEF by TEAM,2,2,,0,1,,,3,0,0.333,,,,4,1,0.25,0.0,38,2308
