game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,19:43,"TURNOVER  by BRYANT,VALENTINO",0,0,,0,1,,,0,0,,,,,0,0,,,39,2383
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,19:29,,0,0,"MISS JUMPER by STEPHENS,JOE",0,1,,,0,0,,,jumper,miss,1,0,0.0,,39,2369
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,19:29,"REBOUND DEF by BROWN,TYLER",0,0,,0,1,,,0,0,,,,,1,0,0.0,,39,2369
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,19:18,"MISS 3PTR by AFFRONTI,LEWIS",0,0,,0,1,3ptr,miss,1,1,0.0,0.0,,,1,0,0.0,,39,2358
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,19:18,,0,0,"REBOUND DEF by ASSINESI,DREW",0,1,,,1,1,0.0,0.0,,,1,0,0.0,,39,2358
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,19:06,,0,0,"MISS 3PTR by BRUFFEY,TANNER",0,1,,,1,1,0.0,0.0,3ptr,miss,2,1,0.0,0.0,39,2346
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,19:06,"REBOUND DEF by AFFRONTI,LEWIS",0,0,,0,1,,,1,1,0.0,0.0,,,2,1,0.0,0.0,39,2346
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,18:52,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2,0,,-2,1,layup,good,2,1,0.5,0.0,,,2,1,0.0,0.0,38,2332
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,18:52,"ASSIST  by WILLIAMS,TRENT",2,0,,-2,1,,,2,1,0.5,0.0,,,2,1,0.0,0.0,38,2332
17,Sewanee University (TN),University of Dallas,61-64,61,64,"10-7, 5-5 SCAC","5-14, 3-7 SCAC",01/27/12,Win,320,No Location Recorded,8:00 p.m.,18:21,,2,0,"TURNOVER  by BRUFFEY,TANNER",-2,1,,,2,1,0.5,0.0,,,2,1,0.0,0.0,38,2301
