game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,19:39,"GOOD LAYUP by POWER,AARON(in the paint)",2,0,,-2,1,layup,good,1,0,1.0,,,,0,0,,,39,2379
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,19:17,,2,3,"GOOD 3PTR by BRYANT,VALENTINO",1,1,,,1,0,1.0,,3ptr,good,1,1,1.0,1.0,39,2357
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,19:17,,2,3,"ASSIST  by WILLIAMS,TRENT",1,1,,,1,0,1.0,,,,1,1,1.0,1.0,39,2357
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,19:02,"TURNOVER  by ROBINSON,DENZEL",2,3,,1,1,,,1,0,1.0,,,,1,1,1.0,1.0,39,2342
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,19:01,,2,3,"STEAL  by BROWN,TYLER",1,1,,,1,0,1.0,,,,1,1,1.0,1.0,39,2341
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,18:56,,2,6,"GOOD 3PTR by BROWN,TYLER",4,1,,,1,0,1.0,,3ptr,good,2,2,1.0,1.0,38,2336
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,18:56,,2,6,"ASSIST  by BRYANT,VALENTINO",4,1,,,1,0,1.0,,,,2,2,1.0,1.0,38,2336
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,18:17,"MISS JUMPER by ANDERSON,KYRON",2,6,,4,1,jumper,miss,2,0,0.5,,,,2,2,1.0,1.0,38,2297
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,18:17,,2,6,"REBOUND DEF by BROWN,TYLER",4,1,,,2,0,0.5,,,,2,2,1.0,1.0,38,2297
19,LAGRANGE,Sewanee,64-77,64,77,9-11,11-8,02/01/12,Win,214,No Location Recorded,7:00 p.m.,18:13,,2,6,"MISS JUMPER by NELSON,ANVIL",4,1,,,2,0,0.5,,jumper,miss,3,2,0.667,1.0,38,2293
