game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,19:34,,0,0,"MISS JUMPER by CARTER,KESHONN",0,1,,,0,0,,,jumper,miss,1,0,0.0,,39,2374
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,19:34,"REBOUND DEF by KINNEY,JORDAN",0,0,,0,1,,,0,0,,,,,1,0,0.0,,39,2374
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,19:27,"GOOD 3PTR by JOVAAG,BRANDEN",3,0,,-3,1,3ptr,good,1,1,1.0,1.0,,,1,0,0.0,,39,2367
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,19:27,"ASSIST  by DAVIS,ALEX",3,0,,-3,1,,,1,1,1.0,1.0,,,1,0,0.0,,39,2367
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,19:17,,3,0,"TURNOVER  by BOULDIN,BRETT",-3,1,,,1,1,1.0,1.0,,,1,0,0.0,,39,2357
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,19:16,"STEAL  by MOLINET,CHRISTIAN",3,0,,-3,1,,,1,1,1.0,1.0,,,1,0,0.0,,39,2356
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,19:13,"GOOD LAYUP by PURDY,SAM(in the paint)",5,0,,-5,1,layup,good,2,1,1.0,1.0,,,1,0,0.0,,39,2353
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,19:13,"ASSIST  by MOLINET,CHRISTIAN",5,0,,-5,1,,,2,1,1.0,1.0,,,1,0,0.0,,39,2353
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,18:47,,5,0,"MISS 3PTR by BOULDIN,BRETT",-5,1,,,2,1,1.0,1.0,3ptr,miss,2,1,0.0,0.0,38,2327
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,18:47,"REBOUND DEF by KINNEY,JORDAN",5,0,,-5,1,,,2,1,1.0,1.0,,,2,1,0.0,0.0,38,2327
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,18:13,"MISS 3PTR by JOVAAG,BRANDEN",5,0,,-5,1,3ptr,miss,3,2,0.667,0.5,,,2,1,0.0,0.0,38,2293
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,18:13,,5,0,"REBOUND DEF by HODGE,NILAN",-5,1,,,3,2,0.667,0.5,,,2,1,0.0,0.0,38,2293
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,17:46,,5,0,"MISS JUMPER by CALDWELL,MARCELLUS",-5,1,,,3,2,0.667,0.5,jumper,miss,3,1,0.0,0.0,37,2266
15,Oglethorpe,Sewanee,78-62,78,62,"12-5,4-2 SAA","8-6,1-5 SAA",01/20/13,Lose,325,No Location Recorded,3:00 PM,17:46,"REBOUND DEF by KINNEY,JORDAN",5,0,,-5,1,,,3,2,0.667,0.5,,,3,1,0.0,0.0,37,2266
