game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,19:43,,0,2,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2,1,,,0,0,,,jumper,good,1,0,1.0,,39,2383
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,19:13,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2,2,,0,1,layup,good,1,0,1.0,,,,1,0,1.0,,39,2353
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,18:52,,2,2,"TURNOVER  by BROWN,TYLER",0,1,,,1,0,1.0,,,,1,0,1.0,,38,2332
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,18:51,"STEAL  by RILEY,JAREN",2,2,,0,1,,,1,0,1.0,,,,1,0,1.0,,38,2331
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,18:34,,2,2,"FOUL  by BROWN,TYLER",0,1,,,1,0,1.0,,foul,,1,0,1.0,,38,2314
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,18:28,"MISS 3PTR by RILEY,JAREN",2,2,,0,1,3ptr,miss,2,1,0.5,0.0,,,1,0,1.0,,38,2308
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,18:28,,2,2,"REBOUND DEF by BRYANT,VALENTINO",0,1,,,2,1,0.5,0.0,,,1,0,1.0,,38,2308
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,18:16,,2,2,"MISS JUMPER by CARTER,KESHONN",0,1,,,2,1,0.5,0.0,jumper,miss,2,0,0.5,,38,2296
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,18:16,"REBOUND DEF by MCCUBBIN,NATHAN",2,2,,0,1,,,2,1,0.5,0.0,,,2,0,0.5,,38,2296
18,Hendrix,Sewanee,56-68,56,68,"6-13, 1-7 SAA","10-7, 3-5 SAA",01/27/13,Win,324,No Location Recorded,3 p.m.,17:47,"GOOD JUMPER by VANCE,LUKE",4,2,,-2,1,jumper,good,3,1,0.667,0.0,,,2,0,0.5,,37,2267
