game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,19:55,,0,0,"MISS 3PTR by KORNET,LUKE",0,1,,,0,0,,,3ptr,miss,1,1,0.0,0.0,39,2395
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,19:55,"REBOUND DEF by BORN,LEO",0,0,,0,1,,,0,0,,,,,1,1,0.0,0.0,39,2395
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,19:28,"MISS 3PTR by WILLIAMS,JORDEN",0,0,,0,1,3ptr,miss,1,1,0.0,0.0,,,1,1,0.0,0.0,39,2368
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,19:28,,0,0,"REBOUND DEF by ROBERSON,JEFF",0,1,,,1,1,0.0,0.0,,,1,1,0.0,0.0,39,2368
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,19:05,,0,2,"GOOD JUMPER by JONES,DAMIAN(in the paint)",2,1,,,1,1,0.0,0.0,jumper,good,2,1,0.5,0.0,39,2345
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,18:48,"MISS 3PTR by STONE,BRODY",0,2,,2,1,3ptr,miss,2,2,0.0,0.0,,,2,1,0.5,0.0,38,2328
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,18:48,,0,2,"REBOUND DEF by MITCHELL,SHELTON",2,1,,,2,2,0.0,0.0,,,2,1,0.5,0.0,38,2328
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,18:36,,0,4,"GOOD JUMPER by ROBERSON,JEFF",4,1,,,2,2,0.0,0.0,jumper,good,3,1,0.667,0.0,38,2316
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,18:15,,0,4,"FOUL  by ROBERSON,JEFF",4,1,,,2,2,0.0,0.0,foul,,3,1,0.667,0.0,38,2295
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,18:02,"GOOD JUMPER by CALDWELL,MARCELLUS(in the paint)",2,4,,2,1,jumper,good,3,2,0.333,0.0,,,3,1,0.667,0.0,38,2282
1,Sewanee,Vanderbilt,38-67,38,67,No record reported,No record reported,11/11/14,Win,7871,No Location Recorded,7:07 PM,17:39,,2,6,"GOOD JUMPER by JONES,DAMIAN(in the paint)",4,1,,,3,2,0.333,0.0,jumper,good,4,1,0.75,0.0,37,2259
