game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,19:38,"GOOD 3PTR by WILLIAMS,JORDEN",3,0,,-3,1,3ptr,good,1,1,1.0,1.0,,,0,0,,,39,2378
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,19:33,,3,0,"TURNOVER  by GAINES,TRAE",-3,1,,,1,1,1.0,1.0,,,0,0,,,39,2373
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,19:06,"GOOD LAYUP by STONE,BRODY(in the paint)",5,0,,-5,1,layup,good,2,1,1.0,1.0,,,0,0,,,39,2346
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,18:51,,5,0,"MISS LAYUP by ENGLAND,CHASE",-5,1,,,2,1,1.0,1.0,layup,miss,1,0,0.0,,38,2331
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,18:51,"REBOUND DEF by BORN,LEO",5,0,,-5,1,,,2,1,1.0,1.0,,,1,0,0.0,,38,2331
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,18:27,,5,0,"FOUL  by VALLEJO,JUSTIN",-5,1,,,2,1,1.0,1.0,foul,,1,0,0.0,,38,2307
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,18:02,"GOOD LAYUP by BORN,LEO(in the paint)",7,0,,-7,1,layup,good,3,1,1.0,1.0,,,1,0,0.0,,38,2282
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,17:42,,7,2,"GOOD JUMPER by ASSINESI,KELLY(in the paint)",-5,1,,,3,1,1.0,1.0,jumper,good,2,0,0.5,,37,2262
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,17:42,,7,2,"ASSIST  by ENGLAND,CHASE",-5,1,,,3,1,1.0,1.0,,,2,0,0.5,,37,2262
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,17:22,"FOUL  by WILLIAMS,JORDEN",7,2,,-5,1,foul,,3,1,1.0,1.0,,,2,0,0.5,,37,2242
13,Sewanee,Piedmont,85-83,85,83,7-4,4-7,01/03/17,Lose,387,No Location Recorded,7:00 PM,17:07,,7,4,"GOOD JUMPER by VALLEJO,JUSTIN(in the paint)",-3,1,,,3,1,1.0,1.0,jumper,good,3,0,0.667,,37,2227
