game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:46,"FOUL  by CALDWELL,AJ",0,0,,0,1,foul,,0,0,,,,,0,0,,,39,2386
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:46,,0,1,"GOOD FT by WARLICK,JORDAN",1,1,,,0,0,,,ft,good,1,0,1.0,,39,2386
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:46,,0,1,"MISS FT by WARLICK,JORDAN",1,1,,,0,0,,,ft,miss,2,0,0.5,,39,2386
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:46,"REBOUND DEF by MINNICK-TUCKER,D",0,1,,1,1,,,0,0,,,,,2,0,0.5,,39,2386
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:28,"TURNOVER  by MINNICK-TUCKER,D",0,1,,1,1,,,0,0,,,,,2,0,0.5,,39,2368
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:27,,0,1,"STEAL  by CALDWELL,CAM",1,1,,,0,0,,,,,2,0,0.5,,39,2367
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:25,,0,3,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",3,1,,,0,0,,,layup,good,3,0,0.667,,39,2365
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:25,,0,3,"ASSIST  by BUESCHER,HUNTER",3,1,,,0,0,,,,,3,0,0.667,,39,2365
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:06,"GOOD 3PTR by CALDWELL,AJ",3,3,,0,1,3ptr,good,1,1,1.0,1.0,,,3,0,0.667,,39,2346
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,19:06,"ASSIST  by BENHAM,BAILEY",3,3,,0,1,,,1,1,1.0,1.0,,,3,0,0.667,,39,2346
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,18:52,,3,5,"GOOD JUMPER by LEE,MATT(in the paint)",2,1,,,1,1,1.0,1.0,jumper,good,4,0,0.75,,38,2332
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,18:32,"MISS 3PTR by BENHAM,BAILEY",3,5,,2,1,3ptr,miss,2,2,0.5,0.5,,,4,0,0.75,,38,2312
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,18:32,,3,5,"REBOUND DEF by LEE,MATT",2,1,,,2,2,0.5,0.5,,,4,0,0.75,,38,2312
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,18:23,,3,5,"TURNOVER  by WARLICK,JORDAN",2,1,,,2,2,0.5,0.5,,,4,0,0.75,,38,2303
11,Boyce,Sewanee,66-81,66,81,0-9,9-1,12/11/18,Win,86,No Location Recorded,6 p.m.,18:09,"GOOD LAYUP by CALDWELL,AJ(in the paint)",5,5,,0,1,layup,good,3,2,0.667,0.5,,,4,0,0.75,,38,2289
