game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,19:40,,0,2,"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",2,1,,,0,0,,,layup,good,1,0,1.0,,39,2380
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,19:40,,0,2,"ASSIST  by JONES,JOSEPH",2,1,,,0,0,,,,,1,0,1.0,,39,2380
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,19:05,"MISS 3PTR by SMITH,LUKE",0,2,,2,1,3ptr,miss,1,1,0.0,0.0,,,1,0,1.0,,39,2345
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,19:05,"REBOUND OFF by CALDWELL,CAM",0,2,,2,1,,,1,1,0.0,0.0,,,1,0,1.0,,39,2345
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:55,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2,2,,0,1,layup,good,2,1,0.5,0.0,,,1,0,1.0,,38,2335
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:44,,2,2,"FOUL  by JONES,JOSEPH",0,1,,,2,1,0.5,0.0,foul,,1,0,1.0,,38,2324
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:36,"GOOD FT by CALDWELL,CAM",3,2,,-1,1,ft,good,3,1,0.667,0.0,,,1,0,1.0,,38,2316
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:32,,3,2,"MISS 3PTR by JONES,JUSTIN",-1,1,,,3,1,0.667,0.0,3ptr,miss,2,1,0.5,0.0,38,2312
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:32,"REBOUND DEF by SMITH,LUKE",3,2,,-1,1,,,3,1,0.667,0.0,,,2,1,0.5,0.0,38,2312
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:32,"MISS 3PTR by CALDWELL,CAM",3,2,,-1,1,3ptr,miss,4,2,0.5,0.0,,,2,1,0.5,0.0,38,2312
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:32,,3,2,"REBOUND DEF by COOKS,BROSNAN",-1,1,,,4,2,0.5,0.0,,,2,1,0.5,0.0,38,2312
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:28,"FOUL  by LEE,MATT",3,2,,-1,1,foul,,4,2,0.5,0.0,,,2,1,0.5,0.0,38,2308
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:23,,3,2,"MISS FT by MCCOY,TOMMY",-1,1,,,4,2,0.5,0.0,ft,miss,3,1,0.333,0.0,38,2303
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:23,,3,2,REBOUND DEADB by TEAM,-1,1,,,4,2,0.5,0.0,,,3,1,0.333,0.0,38,2303
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:23,,3,3,"GOOD FT by MCCOY,TOMMY",0,1,,,4,2,0.5,0.0,ft,good,4,1,0.5,0.0,38,2303
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:03,"MISS JUMPER by BUESCHER,HUNTER",3,3,,0,1,jumper,miss,5,2,0.4,0.0,,,4,1,0.5,0.0,38,2283
7,Sewanee,Belhaven,74-57,74,57,6-0,1-2,11/24/18,Lose,186,No Location Recorded,2:00 PM,18:03,REBOUND DEADB by TEAM,3,3,,0,1,,,5,2,0.4,0.0,,,4,1,0.5,0.0,38,2283
