GameID,VisitorName,HomeName,VisitorWinPercent,HomeWinPercent,Outcome,Away Team Score,Home Team Score,Point Differential,Period,Home Shooting PCT,Home 3PTRs PCT,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Secs,Seconds Elapsed,Play
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,0,0,1,,,0.0,,2389,11,"MISS LAYUP by MILLER,JOSHUA"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,0,0,1,,,0.0,,2389,11,"REBOUND OFF by MILLER,JOSHUA"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,0,0,1,,,0.0,,2384,16,"FOUL  by CALDWELL,CAM"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,1,1,1,,,0.5,,2384,16,"GOOD FT by BECKER,SAXTON"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,,,0.667,,2384,16,"GOOD FT by BECKER,SAXTON"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,,0.5,,2366,34,"MISS JUMPER by LEE,MATT"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,,0.5,,2366,34,"REBOUND DEF by MILLER,JOSHUA"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,,0.4,,2353,47,"MISS LAYUP by SULLIVAN,MICHAEL"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,,0.4,,2353,47,"REBOUND OFF by BLANZ,BUCK"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,,0.4,,2343,57,"TURNOVER  by SULLIVAN,MICHAEL"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,,0.4,,2341,59,"STEAL  by THOMAS,ADRIAN"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,0.0,0.333,0.0,2328,72,"MISS 3PTR by LEE,MATT"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,0.0,0.333,0.0,2328,72,"REBOUND DEF by SULLIVAN,MICHAEL"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,0.0,0.333,0.0,2312,88,"TURNOVER  by BECKER,SAXTON"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,0,2,2,1,0.0,0.0,0.333,0.0,2310,90,"STEAL  by CALDWELL,CAM"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,2,2,0,1,0.333,0.0,0.429,0.0,2286,114,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,2,2,0,1,0.333,0.0,0.429,0.0,2286,114,"ASSIST  by BUESCHER,HUNTER"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,2,2,0,1,0.333,0.0,0.375,0.0,2273,127,"MISS 3PTR by BLANZ,BUCK"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,2,2,0,1,0.333,0.0,0.375,0.0,2273,127,"REBOUND DEF by CALDWELL,CAM"
18_02_02_7_21,Sewanee,Millsaps,0.579,0.3,Win,2,2,0,1,0.333,0.0,0.375,0.0,2252,148,"TURNOVER  by LEE,MATT"
