GameID,VisitorName,HomeName,VisitorWinPercent,HomeWinPercent,Outcome,Away Team Score,Home Team Score,Point Differential,Period,Home Shooting PCT,Home 3PTRs PCT,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Secs,Seconds Elapsed,Play
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,0,0,0,1,,,,,2382,18,"FOUL  by SMITH,LUKE"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,0,0,0,1,,,,,2375,25,"TURNOVER  by ESTACIO,ESTIVEN"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,0,0,0,1,,,0.0,0.0,2357,43,"MISS 3PTR by LEE,MATT"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,0,0,0,1,,,0.0,0.0,2357,43,"REBOUND DEF by JONES,COBY"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,3,0,-3,1,1.0,1.0,0.5,0.5,2348,52,"GOOD 3PTR by JONES,COBY"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,3,0,-3,1,1.0,1.0,0.5,0.5,2348,52,"ASSIST  by GULLION,KENTON"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,3,3,0,1,1.0,1.0,0.667,0.667,2330,70,"GOOD 3PTR by BUESCHER,HUNTER"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,3,3,0,1,1.0,1.0,0.667,0.667,2330,70,"ASSIST  by LEE,MATT"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,3,-2,1,1.0,1.0,0.75,0.667,2314,86,"GOOD JUMPER by JONES,COBY"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,1.0,1.0,0.8,0.75,2294,106,"GOOD 3PTR by WARLICK,JORDAN"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,1.0,1.0,0.8,0.75,2294,106,"ASSIST  by SMITH,LUKE"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.667,0.75,2272,128,"MISS JUMPER by ESTACIO,ESTIVEN"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.667,0.75,2272,128,"BLOCK  by LEE,MATT"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.667,0.75,2272,128,"REBOUND DEF by CALDWELL,CAM"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.571,0.75,2264,136,"MISS LAYUP by SMITH,LUKE"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.571,0.75,2264,136,"REBOUND DEF by ESTACIO,ESTIVEN"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.571,0.75,2251,149,"FOUL  by JONES,COBY"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.571,0.75,2251,149,"TURNOVER  by JONES,COBY"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.571,0.75,2251,149,"SUB IN by GRUBB,CAVIN"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.571,0.75,2251,149,"SUB OUT by MCCLAIN,CODY"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.5,0.75,2234,166,"MISS DUNK by CALDWELL,CAM"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.5,0.75,2234,166,"REBOUND DEF by JONES,COBY"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,6,1,1,0.667,1.0,0.5,0.75,2224,176,"TURNOVER  by ESTACIO,ESTIVEN"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,9,4,1,0.667,1.0,0.556,0.8,2207,193,"GOOD 3PTR by BUESCHER,HUNTER"
18_11_16_7_04,Johnson (TN),Sewanee,0.333,0.5,Win,5,9,4,1,0.667,1.0,0.556,0.8,2207,193,"ASSIST  by WARLICK,JORDAN"
