Time Remaining,BERRY-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:37,"MISS JUMPER by HOLLOMAN,DAVID",,,,,,,"MISS JUMPER by HOLLOMAN,DAVID",1
19:37,,,,,"BLOCK  by BRYANT,VALENTINO",,,"BLOCK  by BRYANT,VALENTINO",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:16,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by LEBLANC,CASS",,,,,,,"REBOUND DEF by LEBLANC,CASS",1
19:03,"TURNOVER  by HOLLOMAN,DAVID",,,,,,,"TURNOVER  by HOLLOMAN,DAVID",1
19:02,,,,,"STEAL  by COWAN,MATT",,,"STEAL  by COWAN,MATT",1
18:51,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by WOODS,STEFAN",,,,,,,"REBOUND DEF by WOODS,STEFAN",1
18:32,"MISS 3PTR by MILES,TIM",,,,,,,"MISS 3PTR by MILES,TIM",1
--,"REBOUND OFF by WOODS,STEFAN",,,,,,,"REBOUND OFF by WOODS,STEFAN",1
18:25,"GOOD JUMPER by GADIE,KENDALL",2 (+2),,0,,BERRY-M 2-0 (-2),,"GOOD JUMPER by GADIE,KENDALL",1
18:04,,2,,2,"GOOD JUMPER by NELSON,ANVIL",SEWANEE 2-2 (0),,"GOOD JUMPER by NELSON,ANVIL",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
17:53,"TURNOVER  by HOLLOMAN,DAVID",,,,,,,"TURNOVER  by HOLLOMAN,DAVID",1
17:33,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND OFF by AFFRONTI,LEWIS",,,"REBOUND OFF by AFFRONTI,LEWIS",1
17:12,,2,,4 (+2),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 2-4 (+2),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
17:12,"FOUL  by MILES,TIM",,,,,,,"FOUL  by MILES,TIM",1
17:12,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",1
--,"REBOUND DEF by MILES,TIM",,,,,,,"REBOUND DEF by MILES,TIM",1
16:53,"MISS LAYUP by HOLLOMAN,DAVID",,,,,,,"MISS LAYUP by HOLLOMAN,DAVID",1
--,,,,,"REBOUND DEF by COWAN,MATT",,,"REBOUND DEF by COWAN,MATT",1
16:41,,2,,7 (+5),"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 2-7 (+5),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,,,,,"ASSIST  by MARELLE,TONY",,,"ASSIST  by MARELLE,TONY",1
16:30,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",1
16:30,"GOOD FT by LEBLANC,CASS",3,,7 (+4),,BERRY-M 3-7 (+4),,"GOOD FT by LEBLANC,CASS",1
16:30,"GOOD FT by LEBLANC,CASS",4,,7 (+3),,BERRY-M 4-7 (+3),,"GOOD FT by LEBLANC,CASS",1
16:20,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",1
16:08,"GOOD LAYUP by GADIE,KENDALL(in the paint)",6,,7 (+1),,BERRY-M 6-7 (+1),,"GOOD LAYUP by GADIE,KENDALL(in the paint)",1
15:35,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by LEBLANC,CASS",,,,,,,"REBOUND DEF by LEBLANC,CASS",1
15:19,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
15:15,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",1
15:15,"GOOD FT by GADIE,KENDALL",7,,7,,BERRY-M 7-7 (0),,"GOOD FT by GADIE,KENDALL",1
15:15,"MISS FT by GADIE,KENDALL",,,,,,,"MISS FT by GADIE,KENDALL",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
14:53,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
