Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
19:28,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
19:28,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",1
19:00,"GOOD LAYUP by BROWN,TYLER(in the paint)",2 (+2),,0,,SEW 2-0 (+2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
18:49,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
18:38,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
18:27,,2,,2,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB12 2-2 (0),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
17:57,"GOOD 3PTR by BRYANT,VALENTINO",5 (+3),,2,,SEW 5-2 (+3),,"GOOD 3PTR by BRYANT,VALENTINO",1
17:27,,5 (+1),,4,"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 5-4 (+1),,"GOOD JUMPER by KILPATRICK,KORY",1
17:06,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",1
17:02,,,,,"STEAL  by KILPATRICK,KORY",,,"STEAL  by KILPATRICK,KORY",1
16:52,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",1
16:52,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:52,,5,,5,"GOOD FT by GALOW,ANDREW",RCMBB12 5-5 (0),,"GOOD FT by GALOW,ANDREW",1
16:39,"GOOD 3PTR by AFFRONTI,LEWIS",8 (+3),,5,,SEW 8-5 (+3),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by BROWN,TYLER",,,,,,,"ASSIST  by BROWN,TYLER",1
16:25,,8 (+1),,7,"GOOD LAYUP by CHIEN,KEVIN(in the paint)",RCMBB12 8-7 (+1),,"GOOD LAYUP by CHIEN,KEVIN(in the paint)",1
15:57,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",1
15:40,,8,,9 (+1),"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 8-9 (-1),,"GOOD JUMPER by KILPATRICK,KORY",1
15:24,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",1
15:19,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
15:19,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
15:19,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
15:17,"GOOD LAYUP by BROWN,TYLER(in the paint)",10 (+1),,9,,SEW 10-9 (+1),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
15:01,,10,,11 (+1),"GOOD JUMPER by GALOW,ANDREW",RCMBB12 10-11 (-1),,"GOOD JUMPER by GALOW,ANDREW",1
14:58,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",1
14:58,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
14:38,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND OFF by WILLIAMS,TRENT",,,,,,,"REBOUND OFF by WILLIAMS,TRENT",1
14:31,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",12 (+1),,11,,SEW 12-11 (+1),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
14:17,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
14:02,"TURNOVER  by WILLIAMS,TRENT",,,,,,,"TURNOVER  by WILLIAMS,TRENT",1
13:58,,,,,"STEAL  by MILLER,JOEY",,,"STEAL  by MILLER,JOEY",1
13:54,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",1
13:52,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",1
13:52,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:52,,12,,12,"GOOD FT by GALOW,ANDREW",RCMBB12 12-12 (0),,"GOOD FT by GALOW,ANDREW",1
13:52,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
13:52,"MISS JUMPER by BEVIACQUA,BRYAN",,,,,,,"MISS JUMPER by BEVIACQUA,BRYAN",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
13:52,,12,,15 (+3),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 12-15 (-3),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
13:52,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
13:52,"FOUL  by BEVIACQUA,BRYAN",,,,,,,"FOUL  by BEVIACQUA,BRYAN",1
13:52,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
13:52,,12,,17 (+5),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 12-17 (-5),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
