Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,UDMB,Game Score,Team Indicator,Play,Period
19:43,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
19:29,,,,,"MISS JUMPER by STEPHENS,JOE",,,"MISS JUMPER by STEPHENS,JOE",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
19:18,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",1
19:06,,,,,"MISS 3PTR by BRUFFEY,TANNER",,,"MISS 3PTR by BRUFFEY,TANNER",1
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",1
18:52,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2 (+2),,0,,SEW 2-0 (+2),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
--,"ASSIST  by WILLIAMS,TRENT",,,,,,,"ASSIST  by WILLIAMS,TRENT",1
18:21,,,,,"TURNOVER  by BRUFFEY,TANNER",,,"TURNOVER  by BRUFFEY,TANNER",1
18:19,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
18:17,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
18:14,,,,,"STEAL  by ASSINESI,DREW",,,"STEAL  by ASSINESI,DREW",1
18:09,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
17:59,,2,,3 (+1),"GOOD 3PTR by HIGHTOWER,BRAETON",UDMB 2-3 (-1),,"GOOD 3PTR by HIGHTOWER,BRAETON",1
--,,,,,"ASSIST  by STEPHENS,JOE",,,"ASSIST  by STEPHENS,JOE",1
17:44,,,,,"FOUL  by GILE,CURTIS",,,"FOUL  by GILE,CURTIS",1
17:44,"MISS FT by BROWN,TYLER",,,,,,,"MISS FT by BROWN,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:44,"MISS FT by BROWN,TYLER",,,,,,,"MISS FT by BROWN,TYLER",1
--,,,,,"REBOUND DEF by STEPHENS,JOE",,,"REBOUND DEF by STEPHENS,JOE",1
17:30,,,,,"MISS 3PTR by GILE,CURTIS",,,"MISS 3PTR by GILE,CURTIS",1
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",1
17:18,"GOOD 3PTR by AFFRONTI,LEWIS",5 (+2),,3,,SEW 5-3 (+2),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
