Time Remaining,SEWM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:46,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
19:46,"MISS FT by BROWN,TYLER",,,,,,,"MISS FT by BROWN,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:46,"GOOD FT by BROWN,TYLER",1 (+1),,0,,SEWM 1-0 (+1),,"GOOD FT by BROWN,TYLER",1
19:35,,,,,"TURNOVER  by WRIGHT,JAKE",,,"TURNOVER  by WRIGHT,JAKE",1
19:24,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
18:55,,1,,2 (+1),"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",BCM 1-2 (-1),,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",1
18:24,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",1
18:07,,,,,"TURNOVER  by WRIGHT,JAKE",,,"TURNOVER  by WRIGHT,JAKE",1
17:44,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
17:43,,,,,"STEAL  by ABRAMS,JONATHAN",,,"STEAL  by ABRAMS,JONATHAN",1
17:40,,1,,4 (+3),"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",BCM 1-4 (-3),,"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",1
17:27,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
17:14,,,,,"TURNOVER  by ABRAMS,JONATHAN",,,"TURNOVER  by ABRAMS,JONATHAN",1
16:55,"GOOD LAYUP by CARTER,KESHONN(in the paint)",3,,4 (+1),,SEWM 3-4 (-1),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
16:41,,,,,"FOUL  by WRIGHT,JAKE",,,"FOUL  by WRIGHT,JAKE",1
16:26,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",1
16:19,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",1
