Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:47,"GOOD 3PTR by BOULDIN,BRETT",3 (+3),,0,,SEWANEE 3-0 (+3),,"GOOD 3PTR by BOULDIN,BRETT",1
19:17,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",1
18:58,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
18:42,,3,,3,"GOOD 3PTR by RILEY,JAREN",HC 3-3 (0),,"GOOD 3PTR by RILEY,JAREN",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
18:15,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
18:15,,,,,"BLOCK  by SHERIDAN,DAYTON",,,"BLOCK  by SHERIDAN,DAYTON",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
18:05,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by SHERIDAN,DAYTON",,,"REBOUND DEF by SHERIDAN,DAYTON",1
17:42,,,,,"TURNOVER  by GRAM,ANDY",,,"TURNOVER  by GRAM,ANDY",1
17:42,,,,,"SUB IN by TAULTON,JORDAN",,,"SUB IN by TAULTON,JORDAN",1
17:42,,,,,"SUB OUT by GRAM,ANDY",,,"SUB OUT by GRAM,ANDY",1
17:30,"GOOD LAYUP by CARTER,KESHONN(in the paint)",5 (+2),,3,,SEWANEE 5-3 (+2),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
17:07,,,,,"MISS JUMPER by PRIMM,COLTON",,,"MISS JUMPER by PRIMM,COLTON",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
16:59,,,,,"FOUL  by SHERIDAN,DAYTON",,,"FOUL  by SHERIDAN,DAYTON",1
16:59,"GOOD FT by BROWN,TYLER",6 (+3),,3,,SEWANEE 6-3 (+3),,"GOOD FT by BROWN,TYLER",1
16:59,"GOOD FT by BROWN,TYLER",7 (+4),,3,,SEWANEE 7-3 (+4),,"GOOD FT by BROWN,TYLER",1
16:59,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",1
16:59,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
16:39,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
16:33,"GOOD LAYUP by BROWN,TYLER(fastbreak)(in the paint)",9 (+6),,3,,SEWANEE 9-3 (+6),,"GOOD LAYUP by BROWN,TYLER(fastbreak)(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
16:12,,9 (+4),,5,"GOOD LAYUP by SHERIDAN,DAYTON(in the paint)",HC 9-5 (+4),,"GOOD LAYUP by SHERIDAN,DAYTON(in the paint)",1
