Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HSC,Game Score,Team Indicator,Play,Period
19:47,,,,,"TURNOVER  by HARGROVE,LEON",,,"TURNOVER  by HARGROVE,LEON",1
19:31,"TURNOVER  by JENNINGS,WILL",,,,,,,"TURNOVER  by JENNINGS,WILL",1
19:22,,,,,"MISS 3PTR by LEWIS,GREG",,,"MISS 3PTR by LEWIS,GREG",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
19:07,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by HARGROVE,LEON",,,"REBOUND DEF by HARGROVE,LEON",1
18:57,,,,,"MISS LAYUP by HARGROVE,LEON",,,"MISS LAYUP by HARGROVE,LEON",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
18:24,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:57,,,,,"TURNOVER  by MURRAY,MIKE",,,"TURNOVER  by MURRAY,MIKE",1
17:23,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by MURRAY,MIKE",,,"REBOUND DEF by MURRAY,MIKE",1
17:16,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
17:16,,0,,1 (+1),"GOOD FT by MURRAY,MIKE",HSC 0-1 (-1),,"GOOD FT by MURRAY,MIKE",1
17:16,,0,,2 (+2),"GOOD FT by MURRAY,MIKE",HSC 0-2 (-2),,"GOOD FT by MURRAY,MIKE",1
16:53,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",2,,2,,SEWANEE 2-2 (0),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",1
16:41,,2,,4 (+2),"GOOD LAYUP by LEWIS,GREG(in the paint)",HSC 2-4 (-2),,"GOOD LAYUP by LEWIS,GREG(in the paint)",1
16:11,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,,,,,"REBOUND DEF by GUIMARAES,GUILHERME",,,"REBOUND DEF by GUIMARAES,GUILHERME",1
15:59,,2,,6 (+4),"GOOD LAYUP by OWENS,MITCH(in the paint)",HSC 2-6 (-4),,"GOOD LAYUP by OWENS,MITCH(in the paint)",1
--,,,,,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",1
15:26,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by GUIMARAES,GUILHERME",,,"REBOUND DEF by GUIMARAES,GUILHERME",1
15:10,,,,,"MISS JUMPER by OWENS,MITCH",,,"MISS JUMPER by OWENS,MITCH",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
14:57,,,,,"FOUL  by HARGROVE,LEON",,,"FOUL  by HARGROVE,LEON",1
14:57,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
14:57,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
14:57,,,,,"SUB IN by KUEHN,HUNTER",,,"SUB IN by KUEHN,HUNTER",1
14:57,,,,,"SUB IN by DUNCAN,JAKE",,,"SUB IN by DUNCAN,JAKE",1
14:57,,,,,"SUB IN by SMITH,ALEX",,,"SUB IN by SMITH,ALEX",1
14:57,,,,,"SUB OUT by GUIMARAES,GUILHERME",,,"SUB OUT by GUIMARAES,GUILHERME",1
14:57,,,,,"SUB OUT by HARGROVE,LEON",,,"SUB OUT by HARGROVE,LEON",1
14:57,,,,,"SUB OUT by LEWIS,GREG",,,"SUB OUT by LEWIS,GREG",1
14:37,"MISS JUMPER by MCCULLOUGH,JACOB",,,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND DEF by SMITH,ALEX",,,"REBOUND DEF by SMITH,ALEX",1
14:29,,,,,"TURNOVER  by MURRAY,MIKE",,,"TURNOVER  by MURRAY,MIKE",1
14:28,"STEAL  by MCCULLOUGH,JACOB",,,,,,,"STEAL  by MCCULLOUGH,JACOB",1
