Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:40,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
19:26,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
18:52,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
18:39,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",1
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
18:36,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
18:36,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
18:22,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2 (+2),,0,,SEWANEE 2-0 (+2),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
--,"ASSIST  by TOME,MATT",,,,,,,"ASSIST  by TOME,MATT",1
18:06,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
17:43,"GOOD JUMPER by CALDWELL,MARCELLUS",4 (+4),,0,,SEWANEE 4-0 (+4),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
17:23,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND OFF by SULLIVAN,BRENNAN",,,"REBOUND OFF by SULLIVAN,BRENNAN",1
17:20,,4 (+2),,2,"GOOD JUMPER by SULLIVAN,BRENNAN",RHODES 4-2 (+2),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
17:20,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
17:20,,4 (+1),,3,"GOOD FT by SULLIVAN,BRENNAN",RHODES 4-3 (+1),,"GOOD FT by SULLIVAN,BRENNAN",1
17:20,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
17:20,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
17:07,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
17:07,,,,,"BLOCK  by MILLER,DREW",,,"BLOCK  by MILLER,DREW",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
17:00,,4,,6 (+2),"GOOD 3PTR by MILLER,DREW",RHODES 4-6 (-2),,"GOOD 3PTR by MILLER,DREW",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
16:36,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
16:30,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
16:30,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
16:30,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
16:09,,4,,8 (+4),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODES 4-8 (-4),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
15:49,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
15:49,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
15:49,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
15:49,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
15:33,,4,,11 (+7),"GOOD 3PTR by LIVSEY,GEOFF",RHODES 4-11 (-7),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
15:12,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
15:12,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
14:58,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
14:56,,,,,"STEAL  by COLLINS,LUKE",,,"STEAL  by COLLINS,LUKE",1
14:49,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
14:39,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:38,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
14:38,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
14:38,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
14:38,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
14:38,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
14:12,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
