Time Remaining,BERRY,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:31,,0,,2 (+2),"GOOD JUMPER by BORN,CLAY",SEWANEE 0-2 (+2),,"GOOD JUMPER by BORN,CLAY",1
19:13,"GOOD JUMPER by SPALDING,TANNER(in the paint)",2,,2,,BERRY 2-2 (0),,"GOOD JUMPER by SPALDING,TANNER(in the paint)",1
--,"ASSIST  by JOHNSON,CALEB",,,,,,,"ASSIST  by JOHNSON,CALEB",1
18:50,,2,,4 (+2),"GOOD DUNK by CALDWELL,CAM(in the paint)",SEWANEE 2-4 (+2),,"GOOD DUNK by CALDWELL,CAM(in the paint)",1
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",1
18:34,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
18:04,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by FORTE,MCCARTY",,,,,,,"REBOUND DEF by FORTE,MCCARTY",1
17:45,"GOOD 3PTR by SPALDING,TANNER",5 (+1),,4,,BERRY 5-4 (-1),,"GOOD 3PTR by SPALDING,TANNER",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
17:26,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
17:09,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",7 (+3),,4,,BERRY 7-4 (-3),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
16:54,,7,,7,"GOOD 3PTR by BORN,CLAY",SEWANEE 7-7 (0),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",1
16:37,"GOOD JUMPER by SPALDING,TANNER",9 (+2),,7,,BERRY 9-7 (-2),,"GOOD JUMPER by SPALDING,TANNER",1
--,"ASSIST  by MCCLOUD,ALTON",,,,,,,"ASSIST  by MCCLOUD,ALTON",1
16:07,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
15:52,"GOOD JUMPER by SPALDING,TANNER(in the paint)",11 (+4),,7,,BERRY 11-7 (-4),,"GOOD JUMPER by SPALDING,TANNER(in the paint)",1
--,"ASSIST  by MCCLOUD,ALTON",,,,,,,"ASSIST  by MCCLOUD,ALTON",1
15:27,,,,,"MISS JUMPER by THOMAS,ADRIAN",,,"MISS JUMPER by THOMAS,ADRIAN",1
15:27,"BLOCK  by MCCLOUD,ALTON",,,,,,,"BLOCK  by MCCLOUD,ALTON",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
14:57,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
14:56,,,,,"STEAL  by CALDWELL,CAM",,,"STEAL  by CALDWELL,CAM",1
14:47,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by SPALDING,TANNER",,,,,,,"REBOUND DEF by SPALDING,TANNER",1
14:15,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
13:49,,,,,"MISS JUMPER by BORN,CLAY",,,"MISS JUMPER by BORN,CLAY",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
13:46,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
13:42,,11 (+2),,9,"GOOD JUMPER by STONE,BRODY(in the paint)",SEWANEE 11-9 (-2),,"GOOD JUMPER by STONE,BRODY(in the paint)",1
13:18,"GOOD JUMPER by SPALDING,TANNER",13 (+4),,9,,BERRY 13-9 (-4),,"GOOD JUMPER by SPALDING,TANNER",1
12:55,,13 (+2),,11,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",SEWANEE 13-11 (-2),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",1
12:38,"GOOD 3PTR by FORTE,MCCARTY",16 (+5),,11,,BERRY 16-11 (-5),,"GOOD 3PTR by FORTE,MCCARTY",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
12:22,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
12:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
12:15,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
12:15,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",1
12:15,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
12:15,,,,,"SUB IN by SPENCER,JC",,,"SUB IN by SPENCER,JC",1
12:15,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
12:15,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",1
12:15,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
12:15,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
12:15,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
12:15,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
12:15,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
12:15,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
12:10,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
12:09,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
11:52,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",1
11:52,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:52,,16 (+4),,12,"GOOD FT by BUESCHER,HUNTER",SEWANEE 16-12 (-4),,"GOOD FT by BUESCHER,HUNTER",1
11:52,,16 (+3),,13,"GOOD FT by BUESCHER,HUNTER",SEWANEE 16-13 (-3),,"GOOD FT by BUESCHER,HUNTER",1
11:38,,,,,"FOUL  by SPENCER,JC",,,"FOUL  by SPENCER,JC",1
11:38,"GOOD JUMPER by SPALDING,TANNER(in the paint)",18 (+5),,13,,BERRY 18-13 (-5),,"GOOD JUMPER by SPALDING,TANNER(in the paint)",1
--,"ASSIST  by MCCLOUD,ALTON",,,,,,,"ASSIST  by MCCLOUD,ALTON",1
11:34,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
11:34,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
11:34,,,,,"SUB OUT by SPENCER,JC",,,"SUB OUT by SPENCER,JC",1
11:34,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",1
11:04,,18 (+3),,15,"GOOD JUMPER by BORN,LEO(in the paint)",SEWANEE 18-15 (-3),,"GOOD JUMPER by BORN,LEO(in the paint)",1
10:55,,,,,"FOUL  by LEE,MATTHEW",,,"FOUL  by LEE,MATTHEW",1
10:55,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
10:55,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",1
10:55,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
10:55,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
10:44,"MISS JUMPER by MCCLOUD,ALTON",,,,,,,"MISS JUMPER by MCCLOUD,ALTON",1
--,"REBOUND OFF by MARDER,NICK",,,,,,,"REBOUND OFF by MARDER,NICK",1
10:37,"GOOD LAYUP by JONES,BLAKE(in the paint)",20 (+5),,15,,BERRY 20-15 (-5),,"GOOD LAYUP by JONES,BLAKE(in the paint)",1
10:19,,20 (+2),,18,"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 20-18 (-2),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by LEE,MATTHEW",,,"ASSIST  by LEE,MATTHEW",1
09:56,"MISS 3PTR by MCCLOUD,ALTON",,,,,,,"MISS 3PTR by MCCLOUD,ALTON",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
09:32,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",1
09:22,"GOOD JUMPER by JONES,BLAKE",22 (+4),,18,,BERRY 22-18 (-4),,"GOOD JUMPER by JONES,BLAKE",1
09:09,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
09:06,"STEAL  by MCCLOUD,ALTON",,,,,,,"STEAL  by MCCLOUD,ALTON",1
09:04,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",1
09:04,"GOOD FT by JOHNSON,CALEB",23 (+5),,18,,BERRY 23-18 (-5),,"GOOD FT by JOHNSON,CALEB",1
09:04,"MISS FT by JOHNSON,CALEB",,,,,,,"MISS FT by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
09:04,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",1
09:04,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
09:04,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
09:04,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
09:04,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
09:04,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
08:38,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
08:38,"STEAL  by JOHNSON,CALEB",,,,,,,"STEAL  by JOHNSON,CALEB",1
08:20,"GOOD JUMPER by MARDER,NICK(in the paint)",25 (+7),,18,,BERRY 25-18 (-7),,"GOOD JUMPER by MARDER,NICK(in the paint)",1
08:06,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
08:06,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",1
08:06,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
07:48,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
07:47,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",1
07:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:47,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",1
07:47,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
07:21,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
07:21,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
07:21,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
07:09,"GOOD JUMPER by JONES,BLAKE",27 (+9),,18,,BERRY 27-18 (-9),,"GOOD JUMPER by JONES,BLAKE",1
06:54,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
06:32,"MISS LAYUP by SPALDING,TANNER",,,,,,,"MISS LAYUP by SPALDING,TANNER",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
06:18,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",1
06:18,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
06:18,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",1
06:18,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
06:18,,,,,"SUB IN by SPENCER,JC",,,"SUB IN by SPENCER,JC",1
06:18,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
06:18,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
05:58,,,,,"MISS JUMPER by BORN,LEO",,,"MISS JUMPER by BORN,LEO",1
05:58,"BLOCK  by ELLINGSWORTH,COLEMAN",,,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",1
--,"REBOUND DEF by FORTE,MCCARTY",,,,,,,"REBOUND DEF by FORTE,MCCARTY",1
05:45,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",1
05:45,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
05:45,,,,,"SUB OUT by SPENCER,JC",,,"SUB OUT by SPENCER,JC",1
05:18,,27 (+7),,20,"GOOD JUMPER by BORN,LEO(in the paint)",SEWANEE 27-20 (-7),,"GOOD JUMPER by BORN,LEO(in the paint)",1
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",1
05:06,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
05:04,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
05:02,"FOUL  by JONES,BLAKE",,,,,,,"FOUL  by JONES,BLAKE",1
05:02,,,,,"MISS FT by BUESCHER,HUNTER",,,"MISS FT by BUESCHER,HUNTER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:02,,27 (+6),,21,"GOOD FT by BUESCHER,HUNTER",SEWANEE 27-21 (-6),,"GOOD FT by BUESCHER,HUNTER",1
05:02,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",1
05:02,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
04:50,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",30 (+9),,21,,BERRY 30-21 (-9),,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",1
--,"ASSIST  by MARDER,NICK",,,,,,,"ASSIST  by MARDER,NICK",1
04:28,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
04:07,"MISS JUMPER by MARDER,NICK",,,,,,,"MISS JUMPER by MARDER,NICK",1
--,"REBOUND OFF by MCCLOUD,ALTON",,,,,,,"REBOUND OFF by MCCLOUD,ALTON",1
04:04,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",32 (+11),,21,,BERRY 32-21 (-11),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",1
03:36,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
03:35,"STEAL  by MARDER,NICK",,,,,,,"STEAL  by MARDER,NICK",1
03:16,"TURNOVER  by JOHNSON,CALEB",,,,,,,"TURNOVER  by JOHNSON,CALEB",1
03:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:16,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
03:16,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
02:50,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",1
02:50,,32 (+10),,22,"GOOD FT by LEE,MATTHEW",SEWANEE 32-22 (-10),,"GOOD FT by LEE,MATTHEW",1
02:50,,32 (+9),,23,"GOOD FT by LEE,MATTHEW",SEWANEE 32-23 (-9),,"GOOD FT by LEE,MATTHEW",1
02:50,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
02:50,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
02:35,"GOOD JUMPER by JOHNSON,CALEB",34 (+11),,23,,BERRY 34-23 (-11),,"GOOD JUMPER by JOHNSON,CALEB",1
02:14,"FOUL  by ELLINGSWORTH,COLEMAN",,,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",1
02:14,,34 (+10),,24,"GOOD FT by BORN,CLAY",SEWANEE 34-24 (-10),,"GOOD FT by BORN,CLAY",1
02:14,,34 (+9),,25,"GOOD FT by BORN,CLAY",SEWANEE 34-25 (-9),,"GOOD FT by BORN,CLAY",1
02:14,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
02:14,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
02:06,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",37 (+12),,25,,BERRY 37-25 (-12),,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
01:49,,37 (+10),,27,"GOOD JUMPER by BORN,CLAY",SEWANEE 37-27 (-10),,"GOOD JUMPER by BORN,CLAY",1
01:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:23,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
01:23,"MISS FT by JONES,BLAKE",,,,,,,"MISS FT by JONES,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:23,"GOOD FT by JONES,BLAKE",38 (+11),,27,,BERRY 38-27 (-11),,"GOOD FT by JONES,BLAKE",1
01:00,,38 (+8),,30,"GOOD 3PTR by STONE,BRODY",SEWANEE 38-30 (-8),,"GOOD 3PTR by STONE,BRODY",1
