Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:49,,0,,2 (+2),"GOOD LAYUP by CALDWELL,CAM(in the paint)",SEWANEE 0-2 (+2),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
19:36,"GOOD JUMPER by TWAGIRAYEZU,PATJO(in the paint)",2,,2,,CCM 2-2 (0),,"GOOD JUMPER by TWAGIRAYEZU,PATJO(in the paint)",1
19:13,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",1
--,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",1
19:03,"TURNOVER  by TWAGIRAYEZU,PATJO",,,,,,,"TURNOVER  by TWAGIRAYEZU,PATJO",1
19:00,,,,,"STEAL  by THOMAS,ADRIAN",,,"STEAL  by THOMAS,ADRIAN",1
18:52,,,,,"MISS JUMPER by SMITH,LUKE",,,"MISS JUMPER by SMITH,LUKE",1
--,"REBOUND DEF by PALMER,NICK",,,,,,,"REBOUND DEF by PALMER,NICK",1
18:24,"MISS JUMPER by MITCHELL,JAMES",,,,,,,"MISS JUMPER by MITCHELL,JAMES",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
18:01,,,,,"MISS LAYUP by SMITH,LUKE",,,"MISS LAYUP by SMITH,LUKE",1
--,"REBOUND DEF by DRYDEN,BERTO",,,,,,,"REBOUND DEF by DRYDEN,BERTO",1
17:50,"MISS LAYUP by PALMER,NICK",,,,,,,"MISS LAYUP by PALMER,NICK",1
--,"REBOUND OFF by HAYNES,CALEB",,,,,,,"REBOUND OFF by HAYNES,CALEB",1
17:46,"GOOD 3PTR by MITCHELL,JAMES",5 (+3),,2,,CCM 5-2 (-3),,"GOOD 3PTR by MITCHELL,JAMES",1
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",1
17:22,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",1
--,"REBOUND DEF by PALMER,NICK",,,,,,,"REBOUND DEF by PALMER,NICK",1
17:13,"MISS 3PTR by MITCHELL,JAMES",,,,,,,"MISS 3PTR by MITCHELL,JAMES",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:49,,,,,"MISS 3PTR by THOMAS,ADRIAN",,,"MISS 3PTR by THOMAS,ADRIAN",1
--,"REBOUND DEF by PALMER,NICK",,,,,,,"REBOUND DEF by PALMER,NICK",1
16:42,,,,,"FOUL  by SMITH,LUKE",,,"FOUL  by SMITH,LUKE",1
16:40,"MISS JUMPER by TWAGIRAYEZU,PATJO",,,,,,,"MISS JUMPER by TWAGIRAYEZU,PATJO",1
