Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:55,,,,,"FOUL  by BARRY,MICHAEL",,,"FOUL  by BARRY,MICHAEL",1
19:55,"GOOD FT by CHAMBERS,DIMETRI",1 (+1),,0,,OUM 1-0 (-1),,"GOOD FT by CHAMBERS,DIMETRI",1
19:55,"GOOD FT by CHAMBERS,DIMETRI",2 (+2),,0,,OUM 2-0 (-2),,"GOOD FT by CHAMBERS,DIMETRI",1
19:41,,2,,2,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by STARR,RYAN",,,"ASSIST  by STARR,RYAN",1
19:20,"MISS 3PTR by CAMMON,JOSH",,,,,,,"MISS 3PTR by CAMMON,JOSH",1
--,,,,,"REBOUND DEF by STARR,RYAN",,,"REBOUND DEF by STARR,RYAN",1
18:59,,2,,4 (+2),"GOOD JUMPER by KNOX,JOEY(in the paint)",SEWANEE 2-4 (+2),,"GOOD JUMPER by KNOX,JOEY(in the paint)",1
18:36,"GOOD 3PTR by CHAMBERS,DIMETRI",5 (+1),,4,,OUM 5-4 (-1),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,"ASSIST  by CAMMON,JOSH",,,,,,,"ASSIST  by CAMMON,JOSH",1
18:19,,5,,6 (+1),"GOOD LAYUP by KNOX,JOEY(in the paint)",SEWANEE 5-6 (+1),,"GOOD LAYUP by KNOX,JOEY(in the paint)",1
18:06,"TURNOVER  by SONE,CARLOS",,,,,,,"TURNOVER  by SONE,CARLOS",1
17:51,,5,,8 (+3),"GOOD JUMPER by WARLICK,JORDAN",SEWANEE 5-8 (+3),,"GOOD JUMPER by WARLICK,JORDAN",1
17:37,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by BARRY,MICHAEL",,,"REBOUND DEF by BARRY,MICHAEL",1
17:19,,5,,10 (+5),"GOOD JUMPER by KNOX,JOEY",SEWANEE 5-10 (+5),,"GOOD JUMPER by KNOX,JOEY",1
--,,,,,"ASSIST  by BARRY,MICHAEL",,,"ASSIST  by BARRY,MICHAEL",1
17:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:57,"MISS JUMPER by SONE,CARLOS",,,,,,,"MISS JUMPER by SONE,CARLOS",1
--,,,,,"REBOUND DEF by STARR,RYAN",,,"REBOUND DEF by STARR,RYAN",1
16:42,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
16:27,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",7,,10 (+3),,OUM 7-10 (+3),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",1
16:09,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",1
--,"REBOUND DEF by FOSTER,LANE",,,,,,,"REBOUND DEF by FOSTER,LANE",1
15:48,"MISS JUMPER by FOSTER,LANE",,,,,,,"MISS JUMPER by FOSTER,LANE",1
--,"REBOUND OFF by JENEI,RYAN",,,,,,,"REBOUND OFF by JENEI,RYAN",1
15:42,"GOOD LAYUP by SONE,CARLOS(in the paint)",9,,10 (+1),,OUM 9-10 (+1),,"GOOD LAYUP by SONE,CARLOS(in the paint)",1
15:19,,9,,13 (+4),"GOOD 3PTR by WARLICK,JORDAN",SEWANEE 9-13 (+4),,"GOOD 3PTR by WARLICK,JORDAN",1
--,,,,,"ASSIST  by BARRY,MICHAEL",,,"ASSIST  by BARRY,MICHAEL",1
14:57,"TURNOVER  by JENEI,RYAN",,,,,,,"TURNOVER  by JENEI,RYAN",1
14:56,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
14:56,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",1
14:56,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",1
14:34,,,,,"MISS JUMPER by THOMAS,ADRIAN",,,"MISS JUMPER by THOMAS,ADRIAN",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
