Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:42,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
19:04,,0,,2 (+2),"GOOD LAYUP by BATES,JACOB(in the paint)",Centre 0-2 (-2),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
18:53,"MISS JUMPER by WARLICK,JORDAN",,,,,,,"MISS JUMPER by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
18:30,,0,,4 (+4),"GOOD JUMPER by WALKER,ART(in the paint)",Centre 0-4 (-4),,"GOOD JUMPER by WALKER,ART(in the paint)",1
18:08,"MISS LAYUP by KNOX,JOEY",,,,,,,"MISS LAYUP by KNOX,JOEY",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
17:47,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
17:21,"GOOD 3PTR by WARLICK,JORDAN",3,,4 (+1),,Sewan 3-4 (-1),,"GOOD 3PTR by WARLICK,JORDAN",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
17:01,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
16:50,"GOOD 3PTR by WARLICK,JORDAN",6 (+2),,4,,Sewan 6-4 (+2),,"GOOD 3PTR by WARLICK,JORDAN",1
16:24,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
16:11,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
15:58,,6,,7 (+1),"GOOD 3PTR by BATES,JACOB",Centre 6-7 (-1),,"GOOD 3PTR by BATES,JACOB",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
15:42,"GOOD LAYUP by KNOX,JOEY(in the paint)",8 (+1),,7,,Sewan 8-7 (+1),,"GOOD LAYUP by KNOX,JOEY(in the paint)",1
15:18,,,,,"MISS 3PTR by SPITZER,JAKOB",,,"MISS 3PTR by SPITZER,JAKOB",1
--,"REBOUND DEF by STARR,RYAN",,,,,,,"REBOUND DEF by STARR,RYAN",1
15:04,"GOOD LAYUP by KNOX,JOEY(in the paint)",10 (+3),,7,,Sewan 10-7 (+3),,"GOOD LAYUP by KNOX,JOEY(in the paint)",1
14:41,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:28,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
14:07,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
14:07,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
14:07,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
14:07,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
14:03,"MISS JUMPER by MCDONOUGH,SEAN",,,,,,,"MISS JUMPER by MCDONOUGH,SEAN",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
