,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,19:33,,0,,3,"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 0-3 (+3),,"GOOD 3PTR by AFFRONTI,LEWIS",1,three pointer,good,sewanee,"affronti,lewis",3.0,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",1173.0,sewanee,1,0,0.0
1,1,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,--,,0,,3,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1,assist,,sewanee,"bryant,valentino",,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",,sewanee,1,0,0.0
2,2,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,19:23,"GOOD LAYUP by GOLDEN,JEFF(in the paint)",2,,3,,HIWASSEE 2-3 (+1),,"GOOD LAYUP by GOLDEN,JEFF(in the paint)",1,layup,good,hiwassee,"golden,jeff",2.0,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",1163.0,sewanee,1,0,0.0
3,3,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,--,"ASSIST  by BROWNER,JUSTIN",2,,3,,,,"ASSIST  by BROWNER,JUSTIN",1,assist,,hiwassee,"browner,justin",,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",,sewanee,1,0,0.0
4,4,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,19:01,,2,,3,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1,jumper,missed,sewanee,"bryant,valentino",,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",1141.0,sewanee,1,0,0.0
5,5,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,--,"REBOUND DEF by GOLDEN,JEFF",2,,3,,,,"REBOUND DEF by GOLDEN,JEFF",1,defensive rebound,,hiwassee,"golden,jeff",,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",,sewanee,1,0,0.0
6,6,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,18:51,"MISS LAYUP by BROWNER,JUSTIN",2,,3,,,,"MISS LAYUP by BROWNER,JUSTIN",1,layup,missed,hiwassee,"browner,justin",,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",1131.0,hiwassee,2,0,0.0
7,7,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,--,,2,,3,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1,defensive rebound,,sewanee,"carter,keshonn",,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",,hiwassee,2,0,0.0
8,8,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,18:39,,2,,3,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1,jumper,missed,sewanee,"carter,keshonn",,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",1119.0,sewanee,3,0,0.0
9,9,1057,Sewanee,Hiwassee,0,61-71,"34,37","26,35",14-7,5-20,,,02/05/13,7:00 PM,,"Sewanee, Tenn.",Win,2,False,232,False,--,"REBOUND DEF by BOYD,LAZERICK",2,,3,,,,"REBOUND DEF by BOYD,LAZERICK",1,defensive rebound,,hiwassee,"boyd,lazerick",,"['browner,justin', 'boyd,lazerick', 'carson,cody', 'bailey,joel', 'golden,jeff']","['bouldin,brett', 'affronti,lewis', 'brown,tyler', 'bryant,valentino', 'carter,keshonn']",,sewanee,3,0,0.0
