,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,19:51,,,,,"MISS JUMPER by PETERS,JAMES",,,"MISS JUMPER by PETERS,JAMES",1,jumper,missed,frostburg state,"peters,james",,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",1191.0,frostburg state,1,0,0.0
1,1,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,--,,,,,"REBOUND OFF by COALMON,ZACHARY",,,"REBOUND OFF by COALMON,ZACHARY",1,offensive rebound,,frostburg state,"coalmon,zachary",,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",,frostburg state,1,0,0.0
2,2,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,19:49,,0.0,,2.0,"GOOD LAYUP by COALMON,ZACHARY(in the paint)",FSU 0-2 (-2),,"GOOD LAYUP by COALMON,ZACHARY(in the paint)",1,layup,good,frostburg state,"coalmon,zachary",2.0,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",1189.0,frostburg state,1,0,0.0
3,3,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,19:25,"MISS 3PTR by WILLIAMS,JORDEN",0.0,,2.0,,,,"MISS 3PTR by WILLIAMS,JORDEN",1,three pointer,missed,sewanee,"williams,jorden",,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",1165.0,frostburg state,1,0,0.0
4,4,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,--,,0.0,,2.0,"REBOUND DEF by COALMON,ZACHARY",,,"REBOUND DEF by COALMON,ZACHARY",1,defensive rebound,,frostburg state,"coalmon,zachary",,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",,frostburg state,1,0,0.0
5,5,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,18:55,,0.0,,2.0,"MISS 3PTR by HENSON,SHAWN",,,"MISS 3PTR by HENSON,SHAWN",1,three pointer,missed,frostburg state,"henson,shawn",,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",1135.0,frostburg state,1,0,0.0
6,6,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,--,"REBOUND DEF by BORN,CLAY",0.0,,2.0,,,,"REBOUND DEF by BORN,CLAY",1,defensive rebound,,sewanee,"born,clay",,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",,frostburg state,1,0,0.0
7,7,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,18:44,"TURNOVER  by CARTER,KESHONN",0.0,,2.0,,,,"TURNOVER  by CARTER,KESHONN",1,turnover,,sewanee,"carter,keshonn",,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",1124.0,sewanee,2,0,0.0
8,8,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,18:42,,0.0,,2.0,"STEAL  by HENSON,SHAWN",,,"STEAL  by HENSON,SHAWN",1,steal,,frostburg state,,,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",1122.0,sewanee,2,0,0.0
9,9,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,18:39,,0.0,,2.0,"MISS JUMPER by PETERS,JAMES",,,"MISS JUMPER by PETERS,JAMES",1,jumper,missed,frostburg state,"peters,james",,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",1119.0,frostburg state,3,0,0.0
10,10,1126,Frostburg State,Sewanee,0,70-75,"33,28,14","39,22,9",1-7,5-3,,,12/29/15,6:15 PM,,"Lexington, Va. ",Win,3,True,,False,--,"REBOUND DEF by BORN,CLAY",0.0,,2.0,,,,"REBOUND DEF by BORN,CLAY",1,defensive rebound,,sewanee,"born,clay",,"['carter,keshonn', 'williams,jorden', 'born,clay', 'jones,cody', 'stone,brody']","['peters,james', 'smoot,nick', 'coalmon,zachary', 'goodman,torrell', 'henson,shawn']",,frostburg state,3,0,0.0
