,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,19:42,"MISS JUMPER by WHITLEY,JACKSON",,,,,,,"MISS JUMPER by WHITLEY,JACKSON",1,jumper,missed,methodist,"whitley,jackson",,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",1182.0,methodist,1,0,0.0
1,1,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,--,"REBOUND OFF by REESE,TROYNELL",,,,,,,"REBOUND OFF by REESE,TROYNELL",1,offensive rebound,,methodist,"reese,troynell",,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",,methodist,1,0,0.0
2,2,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,19:37,"GOOD TIPIN by REESE,TROYNELL(in the paint)",2.0,,0.0,,MUM 2-0 (-2),,"GOOD TIPIN by REESE,TROYNELL(in the paint)",1,tipin,good,methodist,"reese,troynell",2.0,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",1177.0,methodist,1,0,0.0
3,3,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,19:15,,2.0,,2.0,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1,layup,good,sewanee,"thomas,adrian",2.0,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",1155.0,methodist,1,0,0.0
4,4,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,19:00,"GOOD 3PTR by ROUSE,BRYAN",5.0,,2.0,,MUM 5-2 (-3),,"GOOD 3PTR by ROUSE,BRYAN",1,three pointer,good,methodist,"rouse,bryan",3.0,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",1140.0,methodist,1,0,0.0
5,5,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,--,"ASSIST  by AYABARRENO,DAVION",5.0,,2.0,,,,"ASSIST  by AYABARRENO,DAVION",1,assist,,methodist,"ayabarreno,davion",,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",,methodist,1,0,0.0
6,6,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,18:41,,5.0,,4.0,"GOOD JUMPER by SMITH,LUKE(in the paint)",SEWANEE 5-4 (-1),,"GOOD JUMPER by SMITH,LUKE(in the paint)",1,jumper,good,sewanee,"smith,luke",2.0,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",1121.0,methodist,1,0,0.0
7,7,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,18:34,"TURNOVER  by JACKSON,DANTE",5.0,,4.0,,,,"TURNOVER  by JACKSON,DANTE",1,turnover,,methodist,"jackson,dante",,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",1114.0,methodist,1,0,0.0
8,8,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,18:22,,5.0,,4.0,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1,three pointer,missed,sewanee,"smith,luke",,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",1102.0,sewanee,2,0,0.0
9,9,1178,Sewanee,Methodist,0,64-60,"32,28","27,37",1-1,1-1,,,11/19/17,3 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,2,False,,False,--,REBOUND DEF by TEAM,5.0,,4.0,,,,REBOUND DEF by TEAM,1,defensive rebound,,methodist,,,"['ayabarreno,davion', 'rouse,bryan', 'whitley,jackson', 'reese,troynell', 'jackson,dante']","['buescher,hunter', 'smith,luke', 'thomas,adrian', 'caldwell,cam', 'lee,matt']",,methodist,3,0,0.0
