,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,19:47,,,,,"MISS JUMPER by JONES,COBY",,,"MISS JUMPER by JONES,COBY",1,jumper,missed,johnson,"jones,coby",,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",1187.0,sewanee,1,0,0.0
1,1,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1,defensive rebound,,sewanee,"knox,joey",,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",,sewanee,1,0,0.0
2,2,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,19:31,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",1,turnover,,sewanee,"barry,michael",,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",1171.0,sewanee,1,0,0.0
3,3,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,19:29,,,,,"STEAL  by JONES,COBY",,,"STEAL  by JONES,COBY",1,steal,,johnson,,,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",1169.0,sewanee,1,0,0.0
4,4,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,19:23,,,,,"MISS LAYUP by ESTACIO,ESTIVEN",,,"MISS LAYUP by ESTACIO,ESTIVEN",1,layup,missed,johnson,"estacio,estiven",,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",1163.0,johnson,2,0,0.0
5,5,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,--,,,,,"REBOUND OFF by ESTACIO,ESTIVEN",,,"REBOUND OFF by ESTACIO,ESTIVEN",1,offensive rebound,,johnson,"estacio,estiven",,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",,johnson,2,0,0.0
6,6,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,19:17,,,,,"MISS LAYUP by ESTACIO,ESTIVEN",,,"MISS LAYUP by ESTACIO,ESTIVEN",1,layup,missed,johnson,"estacio,estiven",,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",1157.0,johnson,2,0,0.0
7,7,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,--,,,,,"REBOUND OFF by ESTACIO,ESTIVEN",,,"REBOUND OFF by ESTACIO,ESTIVEN",1,offensive rebound,,johnson,"estacio,estiven",,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",,johnson,2,0,0.0
8,8,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,19:12,,0.0,,2.0,"GOOD LAYUP by ESTACIO,ESTIVEN(in the paint)",JOHNSON 0-2 (-2),,"GOOD LAYUP by ESTACIO,ESTIVEN(in the paint)",1,layup,good,johnson,"estacio,estiven",2.0,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",1152.0,johnson,2,0,0.0
9,9,1241,Johnson,Sewanee,0,99-107,"42,41,10,14","24,59,10,6",9-5,7-3,,,12/10/19,7:00 PM,,"Knoxville, Tenn.",Win,4,True,125,False,19:01,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2.0,,2.0,,SEWANEE 2-2 (0),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1,layup,good,sewanee,"thomas,adrian",2.0,"['thomas,adrian', 'knox,joey', 'warlick,jordan', 'starr,ryan', 'barry,michael']","['jones,coby', 'grubb,gavin', 'fudge,toure', 'estacio,estiven', 'mashburn,orion']",1141.0,johnson,2,0,0.0
