,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,19:36,,0,,2,"GOOD JUMPER by BRUCE,DEVAN(in the paint)",BCM 0-2 (+2),,"GOOD JUMPER by BRUCE,DEVAN(in the paint)",1,jumper,good,berry,"bruce,devan",2.0,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1176.0,hendrix,1,0,0.0
1,1,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,19:15,TURNOVER  by TEAM,0,,2,,,,TURNOVER  by TEAM,1,turnover,,hendrix,,,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1155.0,hendrix,1,0,0.0
2,2,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,19:08,,0,,2,"MISS JUMPER by HOWARD,MAC",,,"MISS JUMPER by HOWARD,MAC",1,jumper,missed,berry,"howard,mac",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1148.0,berry,2,0,0.0
3,3,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,--,"REBOUND DEF by TAULTON,JORDAN",0,,2,,,,"REBOUND DEF by TAULTON,JORDAN",1,defensive rebound,,hendrix,"taulton,jordan",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",,berry,2,0,0.0
4,4,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,18:53,TURNOVER  by TEAM,0,,2,,,,TURNOVER  by TEAM,1,turnover,,hendrix,,,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1133.0,hendrix,3,0,0.0
5,5,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,18:42,,0,,2,"MISS LAYUP by BRUCE,DEVAN",,,"MISS LAYUP by BRUCE,DEVAN",1,layup,missed,berry,"bruce,devan",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1122.0,berry,4,0,0.0
6,6,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,--,"REBOUND DEF by PRIMM,COLTON",0,,2,,,,"REBOUND DEF by PRIMM,COLTON",1,defensive rebound,,hendrix,"primm,colton",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",,berry,4,0,0.0
7,7,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,18:23,,0,,2,"FOUL  by BRUCE,DEVAN",,,"FOUL  by BRUCE,DEVAN",1,foul,,berry,"bruce,devan",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1103.0,hendrix,5,0,0.0
8,8,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,18:23,"GOOD FT by VANCE,LUKE",1,,2,,HC 1-2 (+1),,"GOOD FT by VANCE,LUKE",1,free throw,good,hendrix,"vance,luke",1.0,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1103.0,hendrix,5,0,0.0
9,9,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,18:23,"MISS FT by VANCE,LUKE",1,,2,,,,"MISS FT by VANCE,LUKE",1,free throw,missed,hendrix,"vance,luke",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1103.0,hendrix,5,0,0.0
10,10,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,--,,1,,2,"REBOUND DEF by SMOAK,HUNTER",,,"REBOUND DEF by SMOAK,HUNTER",1,defensive rebound,,berry,"smoak,hunter",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",,hendrix,5,0,0.0
11,11,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,18:10,,1,,2,"MISS LAYUP by ABRAMS,JONATHAN",,,"MISS LAYUP by ABRAMS,JONATHAN",1,layup,missed,berry,"abrams,jonathan",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1090.0,berry,6,0,0.0
12,12,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,--,"REBOUND DEF by TAULTON,JORDAN",1,,2,,,,"REBOUND DEF by TAULTON,JORDAN",1,defensive rebound,,hendrix,"taulton,jordan",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",,berry,6,0,0.0
13,13,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,18:02,,1,,2,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",1,foul,,berry,"whalen,mac",,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1082.0,hendrix,7,0,0.0
14,14,732,Berry,Hendrix,1,78-85,"44,41","33,45",3-9,5-9,1-2,0-3,01/06/13,3:15 PM,,"Rome, Ga. (Cage Center)",Win,2,False,200,False,18:02,"GOOD FT by RILEY,JAREN",2,,2,,HC 2-2 (0),,"GOOD FT by RILEY,JAREN",1,free throw,good,hendrix,"riley,jaren",1.0,"['riley,jaren', 'primm,colton', 'vance,luke', 'nikolovski,drew', 'taulton,jordan']","['whalen,mac', 'abrams,jonathan', 'bruce,devan', 'smoak,hunter', 'howard,mac']",1082.0,hendrix,7,0,0.0
