,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,19:52,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1,three pointer,missed,bsc,"welch,ross",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1192.0,berry,1,0,0.0
1,1,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,--,,,,,"REBOUND DEF by SMOAK,HUNTER",,,"REBOUND DEF by SMOAK,HUNTER",1,defensive rebound,,berry,"smoak,hunter",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",,berry,1,0,0.0
2,2,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,19:44,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1,turnover,,berry,"smoak,hunter",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1184.0,berry,1,0,0.0
3,3,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,19:25,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2.0,,0.0,,BSC-M 2-0 (-2),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1,layup,good,bsc,"schamp,griffin",2.0,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1165.0,bsc,2,0,0.0
4,4,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,19:18,,2.0,,0.0,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",1,turnover,,berry,"whalen,mac",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1158.0,bsc,2,0,0.0
5,5,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,19:15,"STEAL  by THOMAS,LARRY",2.0,,0.0,,,,"STEAL  by THOMAS,LARRY",1,steal,,bsc,,,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1155.0,bsc,2,0,0.0
6,6,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,19:12,"MISS 3PTR by WELCH,ROSS",2.0,,0.0,,,,"MISS 3PTR by WELCH,ROSS",1,three pointer,missed,bsc,"welch,ross",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1152.0,bsc,2,0,0.0
7,7,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,--,"REBOUND OFF by SCHAMP,GRIFFIN",2.0,,0.0,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1,offensive rebound,,bsc,"schamp,griffin",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",,bsc,2,0,0.0
8,8,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,19:04,"MISS 3PTR by WELCH,ROSS",2.0,,0.0,,,,"MISS 3PTR by WELCH,ROSS",1,three pointer,missed,bsc,"welch,ross",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1144.0,bsc,2,0,0.0
9,9,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,--,,2.0,,0.0,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1,defensive rebound,,berry,"jacobs,owen",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",,bsc,2,0,0.0
10,10,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,18:55,,2.0,,2.0,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 2-2 (0),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1,layup,good,berry,"mccloud,lee",2.0,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1135.0,berry,3,0,0.0
11,11,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,--,,2.0,,2.0,"ASSIST  by SMOAK,HUNTER",,,"ASSIST  by SMOAK,HUNTER",1,assist,,berry,"smoak,hunter",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",,berry,3,0,0.0
12,12,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,18:35,"MISS 3PTR by THOMAS,LARRY",2.0,,2.0,,,,"MISS 3PTR by THOMAS,LARRY",1,three pointer,missed,bsc,"thomas,larry",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1115.0,berry,3,0,0.0
13,13,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,--,,2.0,,2.0,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1,defensive rebound,,berry,"mccloud,lee",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",,berry,3,0,0.0
14,14,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,18:27,,2.0,,4.0,"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",BCM 2-4 (+2),,"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",1,layup,good,berry,"mccloud,lee(fastbreak)",2.0,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1107.0,berry,3,0,0.0
15,15,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,18:05,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",4.0,,4.0,,BSC-M 4-4 (0),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1,layup,good,bsc,"schamp,griffin",2.0,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1085.0,berry,3,0,0.0
16,16,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,--,"ASSIST  by WELCH,ROSS",4.0,,4.0,,,,"ASSIST  by WELCH,ROSS",1,assist,,bsc,"welch,ross",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",,berry,3,0,0.0
17,17,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,17:46,,4.0,,4.0,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",1,three pointer,missed,berry,"whalen,mac",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1066.0,berry,3,0,0.0
18,18,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,--,"REBOUND DEF by FREEMAN,SCHYLAR",4.0,,4.0,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1,defensive rebound,,bsc,"freeman,schylar",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",,berry,3,0,0.0
19,19,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,17:36,"MISS 3PTR by THOMAS,LARRY",4.0,,4.0,,,,"MISS 3PTR by THOMAS,LARRY",1,three pointer,missed,bsc,"thomas,larry",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1056.0,bsc,4,0,0.0
20,20,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,--,,4.0,,4.0,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",1,defensive rebound,,berry,"whalen,mac",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",,bsc,4,0,0.0
21,21,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,17:29,,4.0,,6.0,"GOOD LAYUP by SMOAK,HUNTER(fastbreak)(in the paint)",BCM 4-6 (+2),,"GOOD LAYUP by SMOAK,HUNTER(fastbreak)(in the paint)",1,layup,good,berry,"smoak,hunter(fastbreak)",2.0,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1049.0,berry,5,0,0.0
22,22,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,--,,4.0,,6.0,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",1,assist,,berry,"whalen,mac",,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",,berry,5,0,0.0
23,23,764,Berry,BSC,1,87-71,"32,39","46,41",3-15,11-6,0-7,5-2,01/31/14,8 p.m.,,"Rome, Ga.",Lose,2,False,700,False,17:17,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",6.0,,6.0,,BSC-M 6-6 (0),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1,layup,good,bsc,"freeman,schylar",2.0,"['thomas,larry', 'schamp,griffin', 'freeman,schylar', 'welch,ross', 'holland,jason']","['smoak,hunter', 'jacobs,owen', 'mccloud,lee', 'whalen,mac', 'graham,lake']",1037.0,berry,5,0,0.0
