,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,19:46,"GOOD 3PTR by PERRY,WILL",3,,0,,OUM 3-0 (-3),,"GOOD 3PTR by PERRY,WILL",1,three pointer,good,oglethorpe,"perry,will",3.0,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1186.0,oglethorpe,1,0,0.0
1,1,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,--,"ASSIST  by SMITH,CONNOR",3,,0,,,,"ASSIST  by SMITH,CONNOR",1,assist,,oglethorpe,"smith,connor",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",,oglethorpe,1,0,0.0
2,2,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,19:24,,3,,0,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1,layup,missed,berry college,"johnson,caleb",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1164.0,oglethorpe,1,0,0.0
3,3,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,--,,3,,0,"REBOUND OFF by JOHNSON,CALEB",,,"REBOUND OFF by JOHNSON,CALEB",1,offensive rebound,,berry college,"johnson,caleb",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",,oglethorpe,1,0,0.0
4,4,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,19:17,,3,,0,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",1,three pointer,missed,berry college,"scherrman,blake",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1157.0,oglethorpe,1,0,0.0
5,5,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,--,"REBOUND DEF by LAWRENCE,CHRIS",3,,0,,,,"REBOUND DEF by LAWRENCE,CHRIS",1,defensive rebound,,oglethorpe,"lawrence,chris",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",,oglethorpe,1,0,0.0
6,6,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,18:58,"MISS 3PTR by LAWRENCE,CHRIS",3,,0,,,,"MISS 3PTR by LAWRENCE,CHRIS",1,three pointer,missed,oglethorpe,"lawrence,chris",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1138.0,oglethorpe,1,0,0.0
7,7,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,--,,3,,0,"REBOUND DEF by SCHERRMAN,BLAKE",,,"REBOUND DEF by SCHERRMAN,BLAKE",1,defensive rebound,,berry college,"scherrman,blake",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",,oglethorpe,1,0,0.0
8,8,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,18:27,,3,,2,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 3-2 (-1),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1,layup,good,berry college,"johnson,caleb",2.0,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1107.0,berry college,2,0,0.0
9,9,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,--,,3,,2,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",1,assist,,berry college,"mccloud,lee",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",,berry college,2,0,0.0
10,10,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,18:08,"GOOD 3PTR by SMITH,CONNOR",6,,2,,OUM 6-2 (-4),,"GOOD 3PTR by SMITH,CONNOR",1,three pointer,good,oglethorpe,"smith,connor",3.0,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1088.0,berry college,2,0,0.0
11,11,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,17:52,,6,,4,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",BCM 6-4 (-2),,"GOOD LAYUP by SCHERRMAN,BLAKE(in the paint)",1,layup,good,berry college,"scherrman,blake",2.0,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1072.0,berry college,2,0,0.0
12,12,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,17:35,"GOOD JUMPER by EDWARDS,JUSTIN",8,,4,,OUM 8-4 (-4),,"GOOD JUMPER by EDWARDS,JUSTIN",1,jumper,good,oglethorpe,"edwards,justin",2.0,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1055.0,berry college,2,0,0.0
13,13,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,17:27,,8,,4,"TURNOVER  by SCHERRMAN,BLAKE",,,"TURNOVER  by SCHERRMAN,BLAKE",1,turnover,,berry college,"scherrman,blake",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1047.0,berry college,2,0,0.0
14,14,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,17:14,"GOOD 3PTR by SMITH,CONNOR",11,,4,,OUM 11-4 (-7),,"GOOD 3PTR by SMITH,CONNOR",1,three pointer,good,oglethorpe,"smith,connor",3.0,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1034.0,oglethorpe,3,0,0.0
15,15,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,--,"ASSIST  by EDWARDS,JUSTIN",11,,4,,,,"ASSIST  by EDWARDS,JUSTIN",1,assist,,oglethorpe,"edwards,justin",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",,oglethorpe,3,0,0.0
16,16,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,17:05,"FOUL  by SIGRIST,CONNOR",11,,4,,,,"FOUL  by SIGRIST,CONNOR",1,foul,,oglethorpe,"sigrist,connor",,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1025.0,oglethorpe,3,0,0.0
17,17,803,Berry College,Oglethorpe,1,68-72,"38,34","39,29",2-3,1-5,1-0,0-1,12/04/15,8 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,400,False,17:05,,11,,5,"GOOD FT by JOHNSON,CALEB",BCM 11-5 (-6),,"GOOD FT by JOHNSON,CALEB",1,free throw,good,berry college,"johnson,caleb",1.0,"['smith,connor', 'perry,will', 'edwards,justin', 'lawrence,chris', 'sigrist,connor']","['johnson,caleb', 'jacobs,owen', 'marder,nick', 'scherrman,blake', 'mccloud,lee']",1025.0,oglethorpe,3,0,0.0
