,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,19:50,"MISS 3PTR by CLARK,ETHAN",,,,,,,"MISS 3PTR by CLARK,ETHAN",1,three pointer,missed,berry,"clark,ethan",,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",1190.0,guilford,1,0,0.0
1,1,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,--,,,,,"REBOUND DEF by GREGORY,KYLER",,,"REBOUND DEF by GREGORY,KYLER",1,defensive rebound,,guilford,"gregory,kyler",,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",,guilford,1,0,0.0
2,2,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,19:24,,0.0,,2.0,"GOOD JUMPER by WARD,LIAM(in the paint)",GC 0-2 (-2),,"GOOD JUMPER by WARD,LIAM(in the paint)",1,jumper,good,guilford,"ward,liam",2.0,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",1164.0,guilford,1,0,0.0
3,3,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,18:58,"MISS 3PTR by JOHNSON,MICAH",0.0,,2.0,,,,"MISS 3PTR by JOHNSON,MICAH",1,three pointer,missed,berry,"johnson,micah",,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",1138.0,guilford,1,0,0.0
4,4,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,--,,0.0,,2.0,"REBOUND DEF by DAVIS,JORDEN",,,"REBOUND DEF by DAVIS,JORDEN",1,defensive rebound,,guilford,"davis,jorden",,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",,guilford,1,0,0.0
5,5,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,18:38,,0.0,,2.0,"MISS 3PTR by DAVIS,JORDEN",,,"MISS 3PTR by DAVIS,JORDEN",1,three pointer,missed,guilford,"davis,jorden",,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",1118.0,guilford,1,0,0.0
6,6,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,--,"REBOUND DEF by CLARK,ETHAN",0.0,,2.0,,,,"REBOUND DEF by CLARK,ETHAN",1,defensive rebound,,berry,"clark,ethan",,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",,guilford,1,0,0.0
7,7,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,18:06,"GOOD JUMPER by JOHNSON,MICAH",2.0,,2.0,,Berry 2-2 (0),,"GOOD JUMPER by JOHNSON,MICAH",1,jumper,good,berry,"johnson,micah",2.0,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",1086.0,berry,2,0,0.0
8,8,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,18:06,,2.0,,2.0,"FOUL  by DAVIS,JORDEN",,,"FOUL  by DAVIS,JORDEN",1,foul,,guilford,"davis,jorden",,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",1086.0,berry,2,0,0.0
9,9,3901,Guilford,Berry,0,56-73,"34,39","24,32",5-1,3-2,0-0,0-0,11/23/19,2:00 PM,,"Ragan-Brown Field House, Greensboro, NC",Win,2,False,200,False,18:06,"GOOD FT by JOHNSON,MICAH",3.0,,2.0,,Berry 3-2 (+1),,"GOOD FT by JOHNSON,MICAH",1,free throw,good,berry,"johnson,micah",1.0,"['wehunt,dawson', 'brooks,austin', 'johnson,micah', 'clark,ethan', 'haslam,ethan']","['ward,liam', 'logan,joah', 'gregory,kyler', 'davis,jorden', 'gore,jaylen']",1086.0,berry,2,0,0.0
