,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,20:00,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1,subbing out,,berry,"costas,riley",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",1200.0,berry,1,0,0.0
1,1,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,20:00,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1,subbing in,,berry,"brooks,austin",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",1200.0,berry,1,0,0.0
2,2,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,20:00,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1,subbing out,,millsaps,"bush,rodreekas",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",1200.0,berry,1,0,0.0
3,3,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,20:00,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1,subbing in,,millsaps,"williams,cameron",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",1200.0,berry,1,0,0.0
4,4,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,20:00,"SUB OUT by MBENOUN,ROB",,,,,,,"SUB OUT by MBENOUN,ROB",1,subbing out,,berry,"mbenoun,rob",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",1200.0,berry,1,0,0.0
5,5,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,20:00,"SUB IN by JOHNSON,MICHAEL",,,,,,,"SUB IN by JOHNSON,MICHAEL",1,subbing in,,berry,"johnson,michael",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",1200.0,berry,1,0,0.0
6,6,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,19:40,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",1,jumper,missed,millsaps,"watson,doug",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",1180.0,berry,1,0,0.0
7,7,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1,defensive rebound,,berry,"brooks,austin",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",,berry,1,0,0.0
8,8,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,19:15,"TURNOVER  by WEHUNT,DAWSON",,,,,,,"TURNOVER  by WEHUNT,DAWSON",1,turnover,,berry,"wehunt,dawson",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",1155.0,berry,1,0,0.0
9,9,4314,Millsaps,Berry,1,73-40,"17,23","34,39",1-2,1-0,1-2,1-0,01/22/21,6:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,100,False,18:37,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",1,three pointer,missed,berry,"johnson,michael",,"['jones,drew', 'wehunt,dawson', 'brooks,austin', 'johnson,michael', 'johnson,micah']","['williams,cameron', 'watson,doug', 'burnett,drew', 'miller,joshua', 'bass,xavier']",1117.0,millsaps,2,0,0.0
