,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,19:43,,0,,2,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 0-2 (+2),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1,layup,good,berry,"brooks,austin",2.0,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",1183.0,lagrange,1,0,0.0
1,1,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,19:36,"MISS LAYUP by BROWN,KYLE(in the paint)",0,,2,,,,"MISS LAYUP by BROWN,KYLE(in the paint)",1,layup,missed,lagrange,"brown,kyle",,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",1176.0,lagrange,1,0,0.0
2,2,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,--,"REBOUND OFF by HILL,ZAC",0,,2,,,,"REBOUND OFF by HILL,ZAC",1,offensive rebound,,lagrange,"hill,zac",,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",,lagrange,1,0,0.0
3,3,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,19:30,"MISS 3PTR by DOLHANCYK,COOPER",0,,2,,,,"MISS 3PTR by DOLHANCYK,COOPER",1,three pointer,missed,lagrange,"dolhancyk,cooper",,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",1170.0,lagrange,1,0,0.0
4,4,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,--,,0,,2,"REBOUND DEF by ESTES,DJ",,,"REBOUND DEF by ESTES,DJ",1,defensive rebound,,berry,"estes,dj",,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",,lagrange,1,0,0.0
5,5,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,19:14,,0,,4,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 0-4 (+4),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1,layup,good,berry,"brooks,austin",2.0,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",1154.0,berry,2,0,0.0
6,6,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,19:03,"MISS JUMPER by BROWN,KYLE(in the paint)",0,,4,,,,"MISS JUMPER by BROWN,KYLE(in the paint)",1,jumper,missed,lagrange,"brown,kyle",,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",1143.0,berry,2,0,0.0
7,7,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,--,,0,,4,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1,defensive rebound,,berry,"costas,riley",,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",,berry,2,0,0.0
8,8,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,18:55,,0,,4,"MISS LAYUP by HONROTH,OWEN(in the paint)",,,"MISS LAYUP by HONROTH,OWEN(in the paint)",1,layup,missed,berry,"honroth,owen",,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",1135.0,berry,2,0,0.0
9,9,4759,Berry,LaGrange,0,74-88,"50,38","32,42",4-0,4-2,0-0,0-0,11/21/21,3:00 PM,,"The Cage Center, Rome, GA",Win,2,False,250,False,--,,0,,4,"REBOUND OFF by BROOKS,AUSTIN",,,"REBOUND OFF by BROOKS,AUSTIN",1,offensive rebound,,berry,"brooks,austin",,"['edwards,bershard', 'brown,kyle', 'dolhancyk,cooper', 'hill,zac', 'shepherd,andrew']","['brooks,austin', 'costas,riley', 'johnson,michael', 'honroth,owen', 'estes,dj']",,berry,2,0,0.0
