,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,19:34,"MISS LAYUP by CLARK,BRYCE(in the paint)",,,,,,,"MISS LAYUP by CLARK,BRYCE(in the paint)",1,layup,missed,berry,"clark,bryce",,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",1174.0,berry,1,0,0.0
1,1,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,--,"REBOUND OFF by CLARK,BRYCE",,,,,,,"REBOUND OFF by CLARK,BRYCE",1,offensive rebound,,berry,"clark,bryce",,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",,berry,1,0,0.0
2,2,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,19:29,"GOOD LAYUP by CLARK,BRYCE(in the paint)",2.0,,0.0,,Berry 2-0 (+2),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1,layup,good,berry,"clark,bryce",2.0,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",1169.0,berry,1,0,0.0
3,3,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,19:06,,2.0,,2.0,"GOOD LAYUP by URSIN,AARON(in the paint)",Mill 2-2 (0),,"GOOD LAYUP by URSIN,AARON(in the paint)",1,layup,good,millsaps,"ursin,aaron",2.0,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",1146.0,berry,1,0,0.0
4,4,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,18:56,"TURNOVER  by HONROTH,OWEN",2.0,,2.0,,,,"TURNOVER  by HONROTH,OWEN",1,turnover,,berry,"honroth,owen",,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",1136.0,berry,1,0,0.0
5,5,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,18:56,,2.0,,2.0,"STEAL  by ROTH,DREW",,,"STEAL  by ROTH,DREW",1,steal,,millsaps,,,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",1136.0,berry,1,0,0.0
6,6,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,18:50,,2.0,,2.0,"MISS LAYUP by ROTH,DREW(in the paint)",,,"MISS LAYUP by ROTH,DREW(in the paint)",1,layup,missed,millsaps,"roth,drew",,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",1130.0,millsaps,2,0,0.0
7,7,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,--,REBOUND DEADB by TEAM,2.0,,2.0,,,,REBOUND DEADB by TEAM,1,deadball rebound,,berry,,,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",,millsaps,2,0,0.0
8,8,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,18:37,"GOOD JUMPER by COSTAS,RILEY(in the paint)",4.0,,2.0,,Berry 4-2 (+2),,"GOOD JUMPER by COSTAS,RILEY(in the paint)",1,jumper,good,berry,"costas,riley",2.0,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",1117.0,millsaps,2,0,0.0
9,9,5257,Millsaps,Berry,1,64-59,"25,34","30,34",1-10,11-2,0-2,2-0,01/06/23,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,65,False,18:13,,4.0,,2.0,"TURNOVER  by HOGAN,TJ",,,"TURNOVER  by HOGAN,TJ",1,turnover,,millsaps,"hogan,tj",,"['ellis,chase', 'clark,bryce', 'honroth,owen', 'costas,riley', 'johnson,michael']","['watson,doug', 'ursin,aaron', 'gasca,dakota', 'hogan,tj', 'roth,drew']",1093.0,millsaps,2,0,0.0
