,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,1stPlayOfPoss
0,0,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",1,subbing in,,lagrange college,"mitchell,nick",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,1
1,1,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",1,subbing in,,lagrange college,"robinson,denzel",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,0
2,2,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,"SUB IN by BAXTER,DUSTIN",,,,,,,"SUB IN by BAXTER,DUSTIN",1,subbing in,,lagrange college,"baxter,dustin",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,0
3,3,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,"SUB IN by DUGGER,PATRICK",,,,,,,"SUB IN by DUGGER,PATRICK",1,subbing in,,lagrange college,"dugger,patrick",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,0
4,4,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",1,subbing in,,lagrange college,"wagner,mark",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,0
5,5,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1,subbing in,,centre college,"wesley,tyler",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,0
6,6,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1,subbing in,,centre college,"scinta,blake",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,0
7,7,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1,subbing in,,centre college,"whiteside,donovan",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,0
8,8,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1,subbing in,,centre college,"murray,ryan",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,0
9,9,781,Centre College,LaGrange College,0,71-78,"45,33","43,28",24-4,18-11,,,03/06/14,7:00 PM,,"Alumni Gymnasium, Danville, KY",Win,2,False,633,False,20:00,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1,subbing in,,centre college,"lopez,collin",,"['mitchell,nick', 'baxter,dustin', 'robinson,denzel', 'wagner,mark', 'dugger,patrick']","['whiteside,donovan', 'scinta,blake', 'lopez,collin', 'murray,ryan', 'wesley,tyler']",1200.0,lagrange college,1,0,0.0,0
