,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,1stPlayOfPoss
0,0,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,19:37,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1,turnover,,centre,"scinta,blake",,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",1177.0,washu,1,0,0.0,1
1,1,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,19:36,,,,,"STEAL  by HOOKS,CLINTON",,,"STEAL  by HOOKS,CLINTON",1,steal,,washu,,,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",1176.0,washu,1,0,0.0,0
2,2,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,19:21,,0.0,,3.0,"GOOD 3PTR by SILVERMAN-LLOYD,L",WASHUM 0-3 (-3),,"GOOD 3PTR by SILVERMAN-LLOYD,L",1,three pointer,good,washu,"silverman-lloyd,l",3.0,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",1161.0,washu,1,0,0.0,0
3,3,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,--,,0.0,,3.0,"ASSIST  by HIGHSMITH,MATT",,,"ASSIST  by HIGHSMITH,MATT",1,assist,,washu,"highsmith,matt",,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",,washu,1,0,0.0,0
4,4,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,18:54,"GOOD 3PTR by SCINTA,BLAKE",3.0,,3.0,,CENTRE 3-3 (0),,"GOOD 3PTR by SCINTA,BLAKE",1,three pointer,good,centre,"scinta,blake",3.0,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",1134.0,washu,1,0,0.0,0
5,5,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,--,"ASSIST  by GUMP,MATT",3.0,,3.0,,,,"ASSIST  by GUMP,MATT",1,assist,,centre,"gump,matt",,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",,washu,1,0,0.0,0
6,6,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,18:37,,3.0,,6.0,"GOOD 3PTR by HOOKS,CLINTON",WASHUM 3-6 (-3),,"GOOD 3PTR by HOOKS,CLINTON",1,three pointer,good,washu,"hooks,clinton",3.0,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",1117.0,washu,1,0,0.0,0
7,7,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,--,,3.0,,6.0,"ASSIST  by KUCERA,KEVIN",,,"ASSIST  by KUCERA,KEVIN",1,assist,,washu,"kucera,kevin",,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",,washu,1,0,0.0,0
8,8,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,18:08,,3.0,,6.0,"FOUL  by HOOKS,CLINTON",,,"FOUL  by HOOKS,CLINTON",1,foul,,washu,"hooks,clinton",,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",1088.0,washu,1,0,0.0,0
9,9,818,WASHU,Centre,0,67-75,"41,34","29,38",8-2,7-3,0-0,0-0,12/29/15,4:30 PM,,"Springfield, Ohio (Pam Evans Smith)",Win,2,False,225,False,18:08,"MISS FT by GUMP,MATT",3.0,,6.0,,,,"MISS FT by GUMP,MATT",1,free throw,missed,centre,"gump,matt",,"['scinta,blake', 'griffin,jarod', 'gump,matt', 'wesley,tyler', 'repishti,bryan']","['sanders,andrew', 'hooks,clinton', 'highsmith,matt', 'kucera,kevin', 'silverman-lloyd,l.']",1088.0,washu,1,0,0.0,0
