,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,19:44,,0,,3,"GOOD 3PTR by MEADES,TAYLOR",MC-M 0-3 (+3),,"GOOD 3PTR by MEADES,TAYLOR",1,three pointer,good,millsaps,"meades,taylor",3.0,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",1184.0,trinity (tex.),1,0,0.0
1,1,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,19:20,"MISS JUMPER by CALDARERA,LUKE",0,,3,,,,"MISS JUMPER by CALDARERA,LUKE",1,jumper,missed,trinity (tex.),"caldarera,luke",,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",1160.0,trinity (tex.),1,0,0.0
2,2,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,--,"REBOUND OFF by BEALL,RYAN",0,,3,,,,"REBOUND OFF by BEALL,RYAN",1,offensive rebound,,trinity (tex.),"beall,ryan",,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",,trinity (tex.),1,0,0.0
3,3,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,19:14,"GOOD 3PTR by KITZINGER,ROBERT",3,,3,,TUM 3-3 (0),,"GOOD 3PTR by KITZINGER,ROBERT",1,three pointer,good,trinity (tex.),"kitzinger,robert",3.0,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",1154.0,trinity (tex.),1,0,0.0
4,4,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,--,"ASSIST  by BEALL,RYAN",3,,3,,,,"ASSIST  by BEALL,RYAN",1,assist,,trinity (tex.),"beall,ryan",,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",,trinity (tex.),1,0,0.0
5,5,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,18:47,,3,,3,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",1,turnover,,millsaps,"merkel,brian",,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",1127.0,trinity (tex.),1,0,0.0
6,6,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,18:27,"GOOD JUMPER by CALDARERA,LUKE",5,,3,,TUM 5-3 (-2),,"GOOD JUMPER by CALDARERA,LUKE",1,jumper,good,trinity (tex.),"caldarera,luke",2.0,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",1107.0,trinity (tex.),1,0,0.0
7,7,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,--,"ASSIST  by KITZINGER,ROBERT",5,,3,,,,"ASSIST  by KITZINGER,ROBERT",1,assist,,trinity (tex.),"kitzinger,robert",,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",,trinity (tex.),1,0,0.0
8,8,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,18:05,,5,,3,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",1,turnover,,millsaps,"meades,taylor",,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",1085.0,trinity (tex.),1,0,0.0
9,9,826,Millsaps,Trinity (Tex.),1,53-45,"25,20","31,22",8-12,10-10,3-9,7-5,02/04/11,8:00 p.m.,,"Jackson, Miss. (The Hangar Dome)",Lose,2,False,367,False,18:04,"STEAL  by LAMBERT,ZACH",5,,3,,,,"STEAL  by LAMBERT,ZACH",1,steal,,trinity (tex.),,,"['caldarera,luke', 'kitzinger,robert', 'beall,ryan', 'lambert,zach', 'allan,clarke']","['merkel,brian', 'cortese,nick', 'meades,taylor', 'sumler,lv', 'montgomery,jayson']",1084.0,trinity (tex.),1,0,0.0
