,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,19:44,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1,three pointer,missed,hendrix,"garrett,travis",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1184.0,millsaps,1,0,0.0
1,1,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1,defensive rebound,,millsaps,"markwith,trent",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",,millsaps,1,0,0.0
2,2,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,19:29,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",2.0,,0.0,,MILLMBB 2-0 (+2),,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",1,jumper,good,millsaps,"atkinson,quinn",2.0,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1169.0,millsaps,1,0,0.0
3,3,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,--,"ASSIST  by ROBERTSON,MARC",2.0,,0.0,,,,"ASSIST  by ROBERTSON,MARC",1,assist,,millsaps,"robertson,marc",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",,millsaps,1,0,0.0
4,4,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,19:09,,2.0,,0.0,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1,turnover,,hendrix,"littlefield,gearen",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1149.0,millsaps,1,0,0.0
5,5,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,18:57,"MISS JUMPER by GAGEN,BRENNAN",2.0,,0.0,,,,"MISS JUMPER by GAGEN,BRENNAN",1,jumper,missed,millsaps,"gagen,brennan",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1137.0,millsaps,1,0,0.0
6,6,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,--,"REBOUND OFF by MARKWITH,TRENT",2.0,,0.0,,,,"REBOUND OFF by MARKWITH,TRENT",1,offensive rebound,,millsaps,"markwith,trent",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",,millsaps,1,0,0.0
7,7,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,18:45,"MISS JUMPER by ATKINSON,QUINN",2.0,,0.0,,,,"MISS JUMPER by ATKINSON,QUINN",1,jumper,missed,millsaps,"atkinson,quinn",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1125.0,millsaps,1,0,0.0
8,8,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,--,,2.0,,0.0,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1,defensive rebound,,hendrix,"smith,preston",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",,millsaps,1,0,0.0
9,9,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,18:29,,2.0,,3.0,"GOOD 3PTR by NIKOLOVSKI,DREW",HC 2-3 (-1),,"GOOD 3PTR by NIKOLOVSKI,DREW",1,three pointer,good,hendrix,"nikolovski,drew",3.0,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1109.0,hendrix,2,0,0.0
10,10,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,--,,2.0,,3.0,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",1,assist,,hendrix,"ogle,john",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",,hendrix,2,0,0.0
11,11,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,18:13,"MISS LAYUP by ATKINSON,QUINN",2.0,,3.0,,,,"MISS LAYUP by ATKINSON,QUINN",1,layup,missed,millsaps,"atkinson,quinn",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1093.0,hendrix,2,0,0.0
12,12,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,--,"REBOUND OFF by ROBERTSON,MARC",2.0,,3.0,,,,"REBOUND OFF by ROBERTSON,MARC",1,offensive rebound,,millsaps,"robertson,marc",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",,hendrix,2,0,0.0
13,13,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,18:01,"GOOD JUMPER by ROBERTSON,MARC",4.0,,3.0,,MILLMBB 4-3 (+1),,"GOOD JUMPER by ROBERTSON,MARC",1,jumper,good,millsaps,"robertson,marc",2.0,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1081.0,hendrix,2,0,0.0
14,14,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,--,"ASSIST  by GERCHOW,ALEX",4.0,,3.0,,,,"ASSIST  by GERCHOW,ALEX",1,assist,,millsaps,"gerchow,alex",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",,hendrix,2,0,0.0
15,15,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,17:45,,4.0,,3.0,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",1,turnover,,hendrix,"ogle,john",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1065.0,hendrix,2,0,0.0
16,16,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,17:34,"MISS JUMPER by ATKINSON,QUINN",4.0,,3.0,,,,"MISS JUMPER by ATKINSON,QUINN",1,jumper,missed,millsaps,"atkinson,quinn",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",1054.0,millsaps,3,0,0.0
17,17,951,Hendrix,Millsaps,1,56-68,"27,41","25,31",2-16,2-16,1-6,1-6,01/29/16,8:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,471,False,--,,4.0,,3.0,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1,defensive rebound,,hendrix,"nikolovski,drew",,"['atkinson,quinn', 'robertson,marc', 'markwith,trent', 'gagen,brennan', 'gerchow,alex']","['littlefield,gearen', 'garrett,travis', 'nikolovski,drew', 'ogle,john', 'smith,preston']",,millsaps,3,0,0.0
