,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,19:48,,0,,2,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 0-2 (-2),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1,layup,good,birmingham-so.,"gillispie,jay",2.0,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1188.0,birmingham-so.,1,0,0.0
1,1,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,--,,0,,2,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1,assist,,birmingham-so.,"childers,josh",,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",,birmingham-so.,1,0,0.0
2,2,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,19:48,"FOUL  by DEITHLOFF,TYLER",0,,2,,,,"FOUL  by DEITHLOFF,TYLER",1,foul,,hendrix,"deithloff,tyler",,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1188.0,birmingham-so.,1,0,0.0
3,3,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,19:48,,0,,3,"GOOD FT by GILLISPIE,JAY",BSC 0-3 (-3),,"GOOD FT by GILLISPIE,JAY",1,free throw,good,birmingham-so.,"gillispie,jay",1.0,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1188.0,birmingham-so.,1,0,0.0
4,4,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,19:33,"MISS LAYUP by WEAVER,BRADEN(in the paint)",0,,3,,,,"MISS LAYUP by WEAVER,BRADEN(in the paint)",1,layup,missed,hendrix,"weaver,braden",,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1173.0,birmingham-so.,1,0,0.0
5,5,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,--,,0,,3,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1,defensive rebound,,birmingham-so.,"gillispie,jay",,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",,birmingham-so.,1,0,0.0
6,6,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,19:23,"FOUL  by COBB,DANIEL",0,,3,,,,"FOUL  by COBB,DANIEL",1,foul,,hendrix,"cobb,daniel",,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1163.0,birmingham-so.,1,0,0.0
7,7,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,19:23,,0,,3,"MISS FT by GLOVER,CAM",,,"MISS FT by GLOVER,CAM",1,free throw,missed,birmingham-so.,"glover,cam",,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1163.0,birmingham-so.,1,0,0.0
8,8,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,--,,0,,3,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,birmingham-so.,,,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",,birmingham-so.,1,0,0.0
9,9,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,19:23,,0,,4,"GOOD FT by GLOVER,CAM",BSC 0-4 (-4),,"GOOD FT by GLOVER,CAM",1,free throw,good,birmingham-so.,"glover,cam",1.0,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1163.0,birmingham-so.,1,0,0.0
10,10,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,19:02,"MISS JUMPER by BERRY,COLTEN(in the paint)",0,,4,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",1,jumper,missed,hendrix,"berry,colten",,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1142.0,birmingham-so.,1,0,0.0
11,11,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,--,,0,,4,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1,defensive rebound,,birmingham-so.,"gillispie,jay",,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",,birmingham-so.,1,0,0.0
12,12,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,18:52,,0,,6,"GOOD JUMPER by JACKSON,MARTISE(in the paint)",BSC 0-6 (-6),,"GOOD JUMPER by JACKSON,MARTISE(in the paint)",1,jumper,good,birmingham-so.,"jackson,martise",2.0,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1132.0,birmingham-so.,1,0,0.0
13,13,5185,Birmingham-So.,Hendrix,1,67-94,"46,48","32,35",16-10,6-20,8-6,5-9,02/19/23,2:00 PM,,"Bill Battle Coliseum, Birmingham, AL",Win,2,False,414,False,18:33,"GOOD LAYUP by WEAVER,BRADEN(in the paint)",2,,6,,Hend 2-6 (-4),,"GOOD LAYUP by WEAVER,BRADEN(in the paint)",1,layup,good,hendrix,"weaver,braden",2.0,"['cobb,daniel', 'weaver,braden', 'torres,jaden', 'berry,colten', 'deithloff,tyler']","['glover,cam', 'jackson,martise', 'gillispie,jay', 'childers,josh', 'green,kaleb']",1113.0,birmingham-so.,1,0,0.0
