,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,19:44,"FOUL  by DENNIS,DEANTE'",,,,,,,"FOUL  by DENNIS,DEANTE'",1,foul,,colorado col.,"dennis,deante'",,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",1184.0,rhodes,1,0,0.0
1,1,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,19:43,,0.0,,1.0,"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 0-1 (+1),,"GOOD FT by GEORGETOWN II,ARNESS",1,free throw,good,rhodes,"georgetown ii,arness",1.0,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",1183.0,rhodes,1,0,0.0
2,2,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,19:43,,0.0,,2.0,"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 0-2 (+2),,"GOOD FT by GEORGETOWN II,ARNESS",1,free throw,good,rhodes,"georgetown ii,arness",1.0,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",1183.0,rhodes,1,0,0.0
3,3,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,19:24,TURNOVER  by TEAM,0.0,,2.0,,,,TURNOVER  by TEAM,1,turnover,,colorado col.,,,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",1164.0,rhodes,1,0,0.0
4,4,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,19:11,,0.0,,4.0,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",Rhodes 0-4 (+4),,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",1,jumper,good,rhodes,"williams,zavien",2.0,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",1151.0,rhodes,1,0,0.0
5,5,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,19:04,"TURNOVER  by DENNIS,DEANTE'",0.0,,4.0,,,,"TURNOVER  by DENNIS,DEANTE'",1,turnover,,colorado col.,"dennis,deante'",,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",1144.0,rhodes,1,0,0.0
6,6,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,19:04,,0.0,,4.0,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",1,steal,,rhodes,,,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",1144.0,rhodes,1,0,0.0
7,7,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,18:54,,0.0,,4.0,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",1,jumper,missed,rhodes,"essick,jalen",,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",1134.0,rhodes,1,0,0.0
8,8,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,--,,0.0,,4.0,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1,offensive rebound,,rhodes,"georgetown ii,arness",,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",,rhodes,1,0,0.0
9,9,8537,Rhodes,Colorado Col.,1,68-89,"43,46","25,43",6-1,2-6,1-0,0-0,12/04/22,2:00 PM,,"Mallory Gymnasium, Memphis, TN",Win,2,False,114,False,18:48,,0.0,,6.0,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 0-6 (+6),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1,layup,good,rhodes,"georgetown ii,arness",2.0,"['ruegg,scott', 'price,adrian', 'dittman,kevin', ""dennis,deante'"", 'crawford,trey']","['walker,jefferson', 'williams,zavien', 'essick,jalen', 'wiley,koki', 'georgetown,ii,arness']",1128.0,rhodes,1,0,0.0
