,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,19:54,"TURNOVER  by SMITH,GRAHAM",,,,,,,"TURNOVER  by SMITH,GRAHAM",1,turnover,,sewanee,"smith,graham",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",1194.0,rhodes,1,0,0.0
1,1,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,19:23,,,,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",1,layup,missed,rhodes,"williams,zavien",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",1163.0,rhodes,1,0,0.0
2,2,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",1,defensive rebound,,sewanee,"marr,russ",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",,rhodes,1,0,0.0
3,3,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,19:11,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",1,foul,,sewanee,"kahl,colin",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",1151.0,sewanee,2,0,0.0
4,4,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,19:11,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1,turnover,,sewanee,"kahl,colin",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",1151.0,sewanee,2,0,0.0
5,5,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,18:57,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1,foul,,rhodes,"wiley,koki",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",1137.0,rhodes,3,0,0.0
6,6,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,18:57,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1,turnover,,rhodes,"wiley,koki",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",1137.0,rhodes,3,0,0.0
7,7,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,18:52,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1,three pointer,missed,sewanee,"corrigan,tre",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",1132.0,sewanee,4,0,0.0
8,8,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1,defensive rebound,,rhodes,"wiley,koki",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",,sewanee,4,0,0.0
9,9,8022,Rhodes,Sewanee,1,77-63,"28,35","35,42",18-7,18-9,10-4,9-5,02/25/23,5:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,177,False,18:09,,,,,"MISS JUMPER by WALKER,JEFFERSON",,,"MISS JUMPER by WALKER,JEFFERSON",1,jumper,missed,rhodes,"walker,jefferson",,"['smith,graham', 'marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre']","['williams,zavien', 'wiley,koki', 'essick,jalen', 'walker,jefferson', 'georgetown,ii,arness']",1089.0,rhodes,5,0,0.0
